variant,order,step,round,case,patch_index,patch_kind,augmentation,loss,gradient_norm,update_delta_norm,learning_rate,weight_decay,base_trainable_parameters,lora_trainable_parameters
A0_confidence_rank,forward,1,1,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.004590040538460016,0.006653346586972475,0.03746257349848747,0.0001,0.0,0,589824
A0_confidence_rank,forward,2,1,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.3149621784687042,0.39088863134384155,0.04034256190061569,0.0001,0.0,0,589824
A0_confidence_rank,forward,3,1,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.009666557423770428,0.016021938994526863,0.03336417302489281,0.0001,0.0,0,589824
A0_confidence_rank,forward,4,1,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.09915492683649063,0.1923425942659378,0.03441285341978073,0.0001,0.0,0,589824
A0_confidence_rank,forward,5,2,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.004302524495869875,0.008809088729321957,0.029987959191203117,0.0001,0.0,0,589824
A0_confidence_rank,forward,6,2,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.2958873510360718,0.5766100287437439,0.03365800529718399,0.0001,0.0,0,589824
A0_confidence_rank,forward,7,2,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.008956292644143105,0.02113775908946991,0.030316589400172234,0.0001,0.0,0,589824
A0_confidence_rank,forward,8,2,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.08818989992141724,0.2537696063518524,0.03344203904271126,0.0001,0.0,0,589824
A0_confidence_rank,forward,9,3,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.003936176188290119,0.010833180509507656,0.030109362676739693,0.0001,0.0,0,589824
A0_confidence_rank,forward,10,3,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.2662871479988098,0.6970360279083252,0.03534732013940811,0.0001,0.0,0,589824
A0_confidence_rank,forward,11,3,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.008011302910745144,0.02397233434021473,0.03232201561331749,0.0001,0.0,0,589824
A0_confidence_rank,forward,12,3,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.07277770340442657,0.28959348797798157,0.03479962795972824,0.0001,0.0,0,589824
A0_confidence_rank,forward,13,4,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.003476739628240466,0.012001743540167809,0.03167489916086197,0.0001,0.0,0,589824
A0_confidence_rank,forward,14,4,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.22784599661827087,0.7698718905448914,0.03678637742996216,0.0001,0.0,0,589824
A0_confidence_rank,forward,15,4,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.006958520505577326,0.024529945105314255,0.03376949951052666,0.0001,0.0,0,589824
A0_confidence_rank,forward,16,4,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.05483948811888695,0.28659310936927795,0.03566061332821846,0.0001,0.0,0,589824
A0_confidence_rank,forward,17,5,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.002983942162245512,0.012170481495559216,0.03258606791496277,0.0001,0.0,0,589824
A0_confidence_rank,forward,18,5,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.18407543003559113,0.7832676768302917,0.03764590993523598,0.0001,0.0,0,589824
A0_confidence_rank,forward,19,5,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.006003999151289463,0.02259456180036068,0.034549009054899216,0.0001,0.0,0,589824
A0_confidence_rank,forward,20,5,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.037449661642313004,0.2459305226802826,0.03564383462071419,0.0001,0.0,0,589824
A0_confidence_rank,reverse,1,1,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.10365646332502365,0.1572519838809967,0.03828733041882515,0.0001,0.0,0,589824
A0_confidence_rank,reverse,2,1,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.009833286516368389,0.014499752782285213,0.0388641357421875,0.0001,0.0,0,589824
