variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou,delta_dice_vs_A_init,delta_foreground_iou_vs_A_init,delta_precision_vs_A_init,delta_recall_vs_A_init
A_init_no_adaptation,forward,0,CYST_PA62.nii.gz,full_volume,383175,186975,11904095,830151,0.4296945963949052,0.6720599842146804,0.31580548014301185,0.2736375964881836,,,,
A_init_no_adaptation,forward,0,HEM_PA29.nii.gz,full_volume,546267,136291,14365216,865788,0.5215922941373896,0.8003231959774847,0.3868595769994795,0.3528068015805253,,,,
A_init_no_adaptation,forward,0,HEP_PA28.nii.gz,full_volume,403902,143062,6825723,504468,0.5550643357469832,0.7384434807409629,0.44464480332903994,0.3841446712673763,,,,
A_init_no_adaptation,forward,0,HEM_PA107.nii.gz,full_volume,387178,31908,11746693,433437,0.6246312618929887,0.9238628825587111,0.47181443185903255,0.4541554890601192,,,,
A_uniform_balanced,forward,4,CYST_PA62.nii.gz,full_volume,390023,193948,11897122,823303,0.43401062818220915,0.6678807680518382,0.3214494702989963,0.2771478759644533,0.004316031787303942,0.0035102794762696954,-0.004179216162842225,0.005643990155984435
A_uniform_balanced,forward,4,HEM_PA29.nii.gz,full_volume,553790,139926,14361581,858265,0.5259736220130299,0.7982949795016981,0.39218727315862345,0.3568278219900888,0.004381327875640273,0.0040210204095634805,-0.0020282164757865484,0.005327696159143969
A_uniform_balanced,forward,4,HEP_PA28.nii.gz,full_volume,418157,158797,6809988,490213,0.5630515631606303,0.7247666191758788,0.46033774783403236,0.39183839080481314,0.007987227413647102,0.0076937195374368605,-0.013676861565084075,0.015692944504992423
A_uniform_balanced,forward,4,HEM_PA107.nii.gz,full_volume,404762,36408,11742193,415853,0.6415704735751336,0.9174739896185145,0.49324226342438293,0.47228837499110293,0.01693921168214496,0.018132885930983722,-0.006388892940196622,0.021427831565350386
A_uniform_balanced,forward,8,CYST_PA62.nii.gz,full_volume,401316,228031,11863039,812010,0.43558026844697895,0.6376704743170302,0.33075694413537665,0.278429285735595,0.005885672052073743,0.0047916892474114126,-0.03438950989765022,0.0149514639923648
A_uniform_balanced,forward,8,HEM_PA29.nii.gz,full_volume,566037,146110,14355397,846018,0.53294084084282,0.7948316850313207,0.4008604480703655,0.36327154056213556,0.011348546705430396,0.010464738981610266,-0.005491510946163958,0.014000871070886045
A_uniform_balanced,forward,8,HEP_PA28.nii.gz,full_volume,430438,174863,6793922,477932,0.5687338926358502,0.7111139747001904,0.47385756905225845,0.3973641866523638,0.013669556888866952,0.013219515384987501,-0.027329506040772444,0.029212765723218515
