variant,order,step,case,patch_index,patch_kind,tp,fp,tn,fn,dice,precision,recall
A_init_no_adaptation,forward,0,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_init_no_adaptation,forward,0,CYST_PA62.nii.gz,1,foreground,215023,28009,6686632,148224,0.709320296431181,0.8847518022318048,0.5919470773330544
A_init_no_adaptation,forward,0,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_init_no_adaptation,forward,0,HEM_PA29.nii.gz,1,foreground,344318,6381,6536076,191113,0.7771275095076343,0.9818049096233522,0.6430669871561415
A_init_no_adaptation,forward,0,HEP_PA28.nii.gz,0,context,0,161598,6916290,0,0.0,0.0,0.0
A_init_no_adaptation,forward,0,HEP_PA28.nii.gz,1,foreground,207097,13670,6657954,199167,0.6605638317722728,0.9380795136954345,0.5097596636669751
A_init_no_adaptation,forward,0,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_init_no_adaptation,forward,0,HEM_PA107.nii.gz,1,foreground,202774,10325,6826246,38543,0.8924597725432203,0.9515483413812359,0.8402806267274995
A_uniform_balanced,forward,4,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_uniform_balanced,forward,4,CYST_PA62.nii.gz,1,foreground,218084,28704,6685937,145163,0.7149884842672961,0.8836896445532197,0.600373850300209
A_uniform_balanced,forward,4,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_uniform_balanced,forward,4,HEM_PA29.nii.gz,1,foreground,349350,7009,6535448,186081,0.7834804157929557,0.9803316318656187,0.6524650235044291
A_uniform_balanced,forward,4,HEP_PA28.nii.gz,0,context,0,162129,6915759,0,0.0,0.0,0.0
A_uniform_balanced,forward,4,HEP_PA28.nii.gz,1,foreground,216738,15740,6655884,189526,0.6786402021473459,0.9322946687428488,0.533490538172223
A_uniform_balanced,forward,4,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_uniform_balanced,forward,4,HEM_PA107.nii.gz,1,foreground,203779,10623,6825948,37538,0.8943186481142985,0.9504528875663474,0.844445273229818
A_uniform_balanced,forward,8,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_uniform_balanced,forward,8,CYST_PA62.nii.gz,1,foreground,223629,29964,6684677,139618,0.7250794371311847,0.8818421644130555,0.6156389454007879
A_uniform_balanced,forward,8,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_uniform_balanced,forward,8,HEM_PA29.nii.gz,1,foreground,357518,8210,6534247,177913,0.793462640888012,0.9775516230641351,0.6677200236818563
A_uniform_balanced,forward,8,HEP_PA28.nii.gz,0,context,0,162947,6914941,0,0.0,0.0,0.0
A_uniform_balanced,forward,8,HEP_PA28.nii.gz,1,foreground,227926,18069,6653555,178338,0.6988818858766226,0.9265472875464948,0.5610292814524546
A_uniform_balanced,forward,8,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_uniform_balanced,forward,8,HEM_PA107.nii.gz,1,foreground,205328,11127,6825444,35989,0.8970753999807765,0.948594396063847,0.850864215948317
A_uniform_balanced,forward,12,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_uniform_balanced,forward,12,CYST_PA62.nii.gz,1,foreground,231458,31867,6682774,131789,0.7388073517488812,0.8789822462736162,0.6371917730910373
A_uniform_balanced,forward,12,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_uniform_balanced,forward,12,HEM_PA29.nii.gz,1,foreground,369667,10414,6532043,165764,0.8075634180655196,0.9726005772453766,0.6904101555569252
A_uniform_balanced,forward,12,HEP_PA28.nii.gz,0,context,0,164278,6913610,0,0.0,0.0,0.0
A_uniform_balanced,forward,12,HEP_PA28.nii.gz,1,foreground,239207,21095,6650529,167057,0.7177293771359475,0.918959516254197,0.5887969399208397
A_uniform_balanced,forward,12,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_uniform_balanced,forward,12,HEM_PA107.nii.gz,1,foreground,207557,12026,6824545,33760,0.9006595790844001,0.9452325544327203,0.8601010289370413
A_uniform_balanced,forward,16,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_uniform_balanced,forward,16,CYST_PA62.nii.gz,1,foreground,241714,34692,6679949,121533,0.7557660168872811,0.8744889763608604,0.665426004894741
A_uniform_balanced,forward,16,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_uniform_balanced,forward,16,HEM_PA29.nii.gz,1,foreground,385821,14144,6528313,149610,0.8249361767636381,0.9646369057292513,0.7205802428324097
A_uniform_balanced,forward,16,HEP_PA28.nii.gz,0,context,0,166199,6911689,0,0.0,0.0,0.0
A_uniform_balanced,forward,16,HEP_PA28.nii.gz,1,foreground,251716,25398,6646226,154548,0.7366816022757536,0.908348188832033,0.6195872634543056
A_uniform_balanced,forward,16,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_uniform_balanced,forward,16,HEM_PA107.nii.gz,1,foreground,210492,13317,6823254,30825,0.9050966834793153,0.940498371379167,0.8722634542945586
A_uniform_balanced,forward,20,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_uniform_balanced,forward,20,CYST_PA62.nii.gz,1,foreground,254518,38868,6675773,108729,0.7752214707454544,0.8675192408635722,0.7006747474858704
A_uniform_balanced,forward,20,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_uniform_balanced,forward,20,HEM_PA29.nii.gz,1,foreground,404779,20366,6522091,130652,0.842783912985542,0.9520963436004187,0.7559872327153265
A_uniform_balanced,forward,20,HEP_PA28.nii.gz,0,context,0,168779,6909109,0,0.0,0.0,0.0
A_uniform_balanced,forward,20,HEP_PA28.nii.gz,1,foreground,266499,31394,6640230,139765,0.7569306276867233,0.8946131664725254,0.6559749325561703
A_uniform_balanced,forward,20,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_uniform_balanced,forward,20,HEM_PA107.nii.gz,1,foreground,214143,15310,6821261,27174,0.9097563566072604,0.9332760957581727,0.8873929312895485
A_uniform_balanced,reverse,20,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_uniform_balanced,reverse,20,CYST_PA62.nii.gz,1,foreground,256136,39264,6675377,107111,0.7777641134021714,0.86708192281652,0.7051290168948402
A_uniform_balanced,reverse,20,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_uniform_balanced,reverse,20,HEM_PA29.nii.gz,1,foreground,406648,22093,6520364,128783,0.8435175466617989,0.9484700553481006,0.7594778785688538
A_uniform_balanced,reverse,20,HEP_PA28.nii.gz,0,context,0,169080,6908808,0,0.0,0.0,0.0
A_uniform_balanced,reverse,20,HEP_PA28.nii.gz,1,foreground,267732,32599,6639025,138532,0.7578089287356973,0.8914564264095282,0.6590099048894315
A_uniform_balanced,reverse,20,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_uniform_balanced,reverse,20,HEM_PA107.nii.gz,1,foreground,214254,15615,6820956,27063,0.9094243037781259,0.9320700050898555,0.8878529071718942
A0_confidence_rank,forward,4,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,4,CYST_PA62.nii.gz,1,foreground,217873,28628,6686013,145374,0.7146329303253147,0.8838625401113992,0.5997929783315485
A0_confidence_rank,forward,4,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,4,HEM_PA29.nii.gz,1,foreground,348923,6939,6535518,186508,0.7829591391383081,0.9805008683141218,0.6516675351259079
