variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou
A_init_no_adaptation,forward,0,HEM_PA81.nii.gz,full_volume,984496,163112,13579697,557943,0.7319544974493011,0.8578678433750897,0.6382722428569299,0.577230466869651
A_init_no_adaptation,forward,0,HEM_PA89.nii.gz,full_volume,480926,136016,6948730,177301,0.7542937445938538,0.7795319495187554,0.7306385183227063,0.6055149368644105
A_init_no_adaptation,forward,0,HEM_PA101.nii.gz,full_volume,757010,118249,13318143,262788,0.7989311139453853,0.8648982758246416,0.7423136738844359,0.6651834238831964
A_init_no_adaptation,forward,0,HCC_10020116_20180118.nii.gz,full_volume,221625,69741,2977164,36018,0.8073638137079721,0.7606412553283499,0.8602019072903203,0.6769573345062678
A_init_no_adaptation,forward,0,MET_PA13.nii.gz,full_volume,200206,29003,5072625,27894,0.8755830302924281,0.8734648290424896,0.8777115300306882,0.7786995873249243
A_init_no_adaptation,forward,0,HCC_10074592_20130816.nii.gz,full_volume,255483,57794,3875071,11652,0.8803505096379813,0.8155178963026332,0.9563816048065584,0.7862733089382603
A_init_no_adaptation,forward,0,CYST_PA19.nii.gz,full_volume,240006,28512,5684429,32197,0.8877258327307428,0.8938171742676468,0.8817169538910299,0.7981178191975791
A_init_no_adaptation,forward,0,HEM_PA13.nii.gz,full_volume,382625,50657,5759313,52235,0.8814802186739036,0.8830853808835816,0.8798808812031459,0.7880774514589602
A_uniform_balanced,forward,4,HEM_PA81.nii.gz,full_volume,1002673,169774,13573035,539766,0.7386483263017305,0.855196866041706,0.6500568255859713,0.5856006232869392
A_uniform_balanced,forward,4,HEM_PA89.nii.gz,full_volume,484148,138756,6945990,174079,0.7558134179877,0.7772433633433081,0.7355334861681456,0.6074759436524995
A_uniform_balanced,forward,4,HEM_PA101.nii.gz,full_volume,764187,122049,13314343,255611,0.8018608272465234,0.8622838611837028,0.7493513421285392,0.6692551629071145
A_uniform_balanced,forward,4,HCC_10020116_20180118.nii.gz,full_volume,223161,71439,2975466,34482,0.8081985647622514,0.7575050916496945,0.8661636450437233,0.6781318941783507
A_uniform_balanced,forward,4,MET_PA13.nii.gz,full_volume,200901,29662,5071966,27199,0.8760288054628343,0.8713496961784848,0.880758439281017,0.7794050325494061
A_uniform_balanced,forward,4,HCC_10074592_20130816.nii.gz,full_volume,255930,59241,3873624,11205,0.8790223696819198,0.8120353712746414,0.9580549160536808,0.7841569233031841
A_uniform_balanced,forward,4,CYST_PA19.nii.gz,full_volume,240551,29133,5683808,31652,0.8878271669185642,0.891973569066018,0.8837191360859359,0.7982816523747578
