case,order,step,confidence_uniform_left,confidence_uniform_right,confidence_uniform_dice_delta,confidence_uniform_foreground_iou_delta,confidence_uniform_precision_delta,confidence_uniform_recall_delta,confidence_uniform_dice_win,world_uniform_left,world_uniform_right,world_uniform_dice_delta,world_uniform_foreground_iou_delta,world_uniform_precision_delta,world_uniform_recall_delta,world_uniform_dice_win,joint_uniform_left,joint_uniform_right,joint_uniform_dice_delta,joint_uniform_foreground_iou_delta,joint_uniform_precision_delta,joint_uniform_recall_delta,joint_uniform_dice_win,joint_confidence_left,joint_confidence_right,joint_confidence_dice_delta,joint_confidence_foreground_iou_delta,joint_confidence_precision_delta,joint_confidence_recall_delta,joint_confidence_dice_win
CYST_PA19.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,0.0004973807915588102,0.0007991579170942842,0.002613137930455034,-0.0018111482974103588,True,A1_world,A_uniform_balanced,0.00014183591437078036,0.00022781976591357278,-0.0003984150016098642,0.0007347457595985318,True,A2_joint_product,A_uniform_balanced,0.00012921917560360097,0.0002075521534674607,-0.00015495929198927616,0.0004408474557591191,True,A2_joint_product,A0_confidence_rank,-0.00036816161595520924,-0.0005916057636268235,-0.00276809722244431,0.002251995753169478,False
CYST_PA19.nii.gz,reverse,20,A0_confidence_rank,A_uniform_balanced,0.0003379695424899909,0.0005427749387073577,0.0018879191410353657,-0.001359279655257284,True,A1_world,A_uniform_balanced,5.338162656010059e-05,8.570837674282128e-05,-0.0009355310395310346,0.0011425296561756726,True,A2_joint_product,A_uniform_balanced,-7.919089399555101e-05,-0.00012713207282100125,-0.0011281250284196354,0.001076402537811827,False,A2_joint_product,A0_confidence_rank,-0.0004171604364855419,-0.000669907011528359,-0.003016044169455001,0.002435682193069111,False
HCC_10020116_20180118.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,0.0023420325465621783,0.003299638113591352,0.004736175002537313,-0.0017388401780759066,True,A1_world,A_uniform_balanced,-0.0021162713746833983,-0.0029704421603605757,-0.002345712943207956,-0.0016379253463125742,False,A2_joint_product,A_uniform_balanced,5.0732863713376375e-06,7.133635633982394e-06,-0.00022322624012238723,0.0003881339683204921,True,A2_joint_product,A0_confidence_rank,-0.0023369592601908407,-0.0032925044779573698,-0.0049594012426597,0.0021269741463963987,False
HCC_10020116_20180118.nii.gz,reverse,20,A0_confidence_rank,A_uniform_balanced,0.0019167411050419192,0.002700525174615276,0.0035360810513500596,-0.0008849454477707352,True,A1_world,A_uniform_balanced,-0.0027732672084190835,-0.0038919648745707747,-0.003700408835825897,-0.001075131092247883,False,A2_joint_product,A_uniform_balanced,-0.0008243400423376679,-0.0011587569677483645,-0.0021941178740145784,0.0015370105145491308,False,A2_joint_product,A0_confidence_rank,-0.002741081147379587,-0.0038592821423636403,-0.005730198925364638,0.002421955962319866,False
HCC_10074592_20130816.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,0.0022560123900474682,0.00346479878151007,0.0047073367373339225,-0.0017369494824714948,True,A1_world,A_uniform_balanced,0.0004439174041848126,0.0006806893285107307,0.0005726318833857436,0.0002208621109176523,True,A2_joint_product,A_uniform_balanced,0.0011006474902660601,0.0016886703300663664,0.0021264218997060214,-0.0005839743949688225,True,A2_joint_product,A0_confidence_rank,-0.001155364899781408,-0.0017761284514437037,-0.002580914837627901,0.0011529750875026723,False
HCC_10074592_20130816.nii.gz,reverse,20,A0_confidence_rank,A_uniform_balanced,0.0017360678403804952,0.0026608729143133836,0.003741245762799883,-0.001546034776423899,True,A1_world,A_uniform_balanced,0.00019451361441447101,0.00029772912070424873,7.110941922960912e-06,0.0004903887547494934,True,A2_joint_product,A_uniform_balanced,0.0004356425634772787,0.0006669499520974842,0.0007837173035528666,-0.00014225017313340693,True,A2_joint_product,A0_confidence_rank,-0.0013004252769032165,-0.0019939229622158994,-0.0029575284592470164,0.0014037846032904922,False
HEM_PA101.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,-0.0016895338363296375,-0.0023926448381641485,0.0026295570852077343,-0.0059962855389008585,False,A1_world,A_uniform_balanced,0.0015809991441920745,0.0022451170201978066,0.0007239211296165005,0.0024465629467796957,True,A2_joint_product,A_uniform_balanced,0.0003249590605221009,0.00046097384607812764,0.00025237628522090105,0.00039811805867440153,True,A2_joint_product,A0_confidence_rank,0.0020144928968517384,0.002853618684242276,-0.0023771807999868333,0.00639440359757526,True
HEM_PA101.nii.gz,reverse,20,A0_confidence_rank,A_uniform_balanced,-0.0011315177003549115,-0.0016001316235807472,0.0017156384599350538,-0.004011578763637558,False,A1_world,A_uniform_balanced,0.0020321593706575936,0.0028814324704664607,8.969039964268344e-05,0.004020404040800174,True,A2_joint_product,A_uniform_balanced,0.0010720693892793953,0.0015188760659765599,-0.0010285870713744316,0.003223187337100031,True,A2_joint_product,A0_confidence_rank,0.002203587089634307,0.003119007689557307,-0.0027442255313094854,0.0072347661007375885,True
HEM_PA13.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,0.0005712552930802195,0.0009140162083991488,0.0029695223187683473,-0.0022857931288230438,True,A1_world,A_uniform_balanced,0.001111776849979762,0.001779718663771801,0.001269964441614757,0.0009175366784712757,True,A2_joint_product,A_uniform_balanced,0.000932453310301673,0.0014924202039868772,0.0006094214108172125,0.001315365864876128,True,A2_joint_product,A0_confidence_rank,0.0003611980172214535,0.0005784039955877285,-0.002360100907951135,0.0036011589936991717,True
HEM_PA13.nii.gz,reverse,20,A0_confidence_rank,A_uniform_balanced,0.0004949236382244537,0.000790810481412163,0.0021513743722312295,-0.001494733937359105,True,A1_world,A_uniform_balanced,0.0010379828716723383,0.0016593397280084687,0.0007007903148393835,0.0014395437612104711,True,A2_joint_product,A_uniform_balanced,0.0006985192208531776,0.0011163275372841897,-0.00047527583572692933,0.0021133238283586042,True,A2_joint_product,A0_confidence_rank,0.0002035955826287239,0.0003255170558720266,-0.002626650207958159,0.0036080577657177093,True
HEM_PA81.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,0.002842710956110328,0.003773577842034359,0.003905901043670612,0.001782890603777454,True,A1_world,A_uniform_balanced,0.002074161118264639,0.0027516357435679595,-0.001049842327793371,0.00522224865942833,True,A2_joint_product,A_uniform_balanced,0.005814867055765616,0.00773774650898662,0.00031524590329734536,0.011391050148498616,True,A2_joint_product,A0_confidence_rank,0.0029721560996552876,0.003964168666952261,-0.0035906551403732667,0.009608159544721162,True
HEM_PA81.nii.gz,reverse,20,A0_confidence_rank,A_uniform_balanced,-0.00023163270585802032,-0.00030851659322839176,0.0010052968324473222,-0.00150540799344423,False,A1_world,A_uniform_balanced,0.0011912755223713045,0.0015885299453402002,-0.0026005084067539652,0.0051476914159975795,True,A2_joint_product,A_uniform_balanced,0.002447681765697318,0.003267263269592924,-0.003569509324897302,0.008762745236602476,True,A2_joint_product,A0_confidence_rank,0.0026793144715553385,0.0035757798628213155,-0.004574806157344624,0.010268153230046706,True
HEM_PA89.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,-0.0034945937376044123,-0.004465825364772358,-0.0025773484367794808,-0.00457289050737808,False,A1_world,A_uniform_balanced,0.0011460874692746925,0.0014700583536469969,9.079752112362005e-05,0.002404945406372039,True,A2_joint_product,A_uniform_balanced,-0.00208094295809258,-0.0026622912410333432,-0.004586135297305893,0.0009434435232830163,False,A2_joint_product,A0_confidence_rank,0.0014136507795118325,0.0018035341237390146,-0.0020087868605264125,0.005516334030661096,True
