variant,order,step,round,case,patch_index,patch_kind,augmentation,loss,gradient_norm,update_delta_norm,learning_rate,weight_decay,base_trainable_parameters,lora_trainable_parameters
A_uniform_balanced,forward,1,1,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.02900278940796852,0.040071871131658554,0.038085512816905975,0.0001,0.0,0,589824
A_uniform_balanced,forward,2,1,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.6766347289085388,0.7154657244682312,0.04066932201385498,0.0001,0.0,0,589824
A_uniform_balanced,forward,3,1,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.031401075422763824,0.025022396817803383,0.03332500532269478,0.0001,0.0,0,589824
A_uniform_balanced,forward,4,1,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.22554631531238556,0.3306080102920532,0.03494955599308014,0.0001,0.0,0,589824
A_uniform_balanced,forward,5,2,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.027053650468587875,0.05306696146726608,0.03239104896783829,0.0001,0.0,0,589824
A_uniform_balanced,forward,6,2,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.6392897963523865,1.079243779182434,0.034893639385700226,0.0001,0.0,0,589824
A_uniform_balanced,forward,7,2,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.03034684620797634,0.030264962464571,0.031162571161985397,0.0001,0.0,0,589824
A_uniform_balanced,forward,8,2,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.20502595603466034,0.45198577642440796,0.03395218029618263,0.0001,0.0,0,589824
A_uniform_balanced,forward,9,3,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.0244219321757555,0.06476334482431412,0.03151848539710045,0.0001,0.0,0,589824
A_uniform_balanced,forward,10,3,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.5801260471343994,1.3407458066940308,0.03632097691297531,0.0001,0.0,0,589824
A_uniform_balanced,forward,11,3,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.029340427368879318,0.02957223728299141,0.03286994248628616,0.0001,0.0,0,589824
A_uniform_balanced,forward,12,3,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.1757073998451233,0.535090982913971,0.03513547033071518,0.0001,0.0,0,589824
A_uniform_balanced,forward,13,4,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.02127900719642639,0.06837809830904007,0.032606419175863266,0.0001,0.0,0,589824
A_uniform_balanced,forward,14,4,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.501779317855835,1.5257452726364136,0.03758580610156059,0.0001,0.0,0,589824
A_uniform_balanced,forward,15,4,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.02895934507250786,0.02747950330376625,0.03404312580823898,0.0001,0.0,0,589824
A_uniform_balanced,forward,16,4,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.14078524708747864,0.5504231452941895,0.03581157699227333,0.0001,0.0,0,589824
A_uniform_balanced,forward,17,5,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.01819399558007717,0.06283397227525711,0.03311942145228386,0.0001,0.0,0,589824
A_uniform_balanced,forward,18,5,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.4102749824523926,1.6107732057571411,0.03829348087310791,0.0001,0.0,0,589824
A_uniform_balanced,forward,19,5,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.02983657270669937,0.03529477119445801,0.034559037536382675,0.0001,0.0,0,589824
A_uniform_balanced,forward,20,5,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.10578739643096924,0.49633926153182983,0.03566864877939224,0.0001,0.0,0,589824
A_uniform_balanced,reverse,1,1,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.23392581939697266,0.2675349712371826,0.038326580077409744,0.0001,0.0,0,589824
A_uniform_balanced,reverse,2,1,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.03171418607234955,0.02294016256928444,0.03871104121208191,0.0001,0.0,0,589824
A_uniform_balanced,reverse,3,1,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.6682431101799011,0.7921188473701477,0.03603360056877136,0.0001,0.0,0,589824
A_uniform_balanced,reverse,4,1,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.02779725193977356,0.04801379144191742,0.031501904129981995,0.0001,0.0,0,589824
A_uniform_balanced,reverse,5,2,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.21804405748844147,0.3595132827758789,0.034899044781923294,0.0001,0.0,0,589824
A_uniform_balanced,reverse,6,2,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.030751943588256836,0.02861832082271576,0.03094939887523651,0.0001,0.0,0,589824
A_uniform_balanced,reverse,7,2,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.6240637898445129,1.1118862628936768,0.035498976707458496,0.0001,0.0,0,589824
A_uniform_balanced,reverse,8,2,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.025416670367121696,0.06185931712388992,0.032496534287929535,0.0001,0.0,0,589824
A_uniform_balanced,reverse,9,3,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.19318313896656036,0.4734421968460083,0.035188451409339905,0.0001,0.0,0,589824
A_uniform_balanced,reverse,10,3,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.029745962470769882,0.02937161736190319,0.03179029002785683,0.0001,0.0,0,589824
A_uniform_balanced,reverse,11,3,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.5569497346878052,1.3928879499435425,0.036761436611413956,0.0001,0.0,0,589824
A_uniform_balanced,reverse,12,3,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.02234010025858879,0.06836759299039841,0.03390675038099289,0.0001,0.0,0,589824
A_uniform_balanced,reverse,13,4,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.1602131575345993,0.535317599773407,0.03602255508303642,0.0001,0.0,0,589824
A_uniform_balanced,reverse,14,4,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.0292352307587862,0.027312815189361572,0.032614510506391525,0.0001,0.0,0,589824
A_uniform_balanced,reverse,15,4,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.47136977314949036,1.5805449485778809,0.03772113844752312,0.0001,0.0,0,589824
A_uniform_balanced,reverse,16,4,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.019157569855451584,0.06507789343595505,0.03477912023663521,0.0001,0.0,0,589824
A_uniform_balanced,reverse,17,5,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.12390580773353577,0.5241245627403259,0.03627487272024155,0.0001,0.0,0,589824
A_uniform_balanced,reverse,18,5,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.02988596260547638,0.03288035839796066,0.032722894102334976,0.0001,0.0,0,589824
A_uniform_balanced,reverse,19,5,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.3757356107234955,1.6232709884643555,0.037944111973047256,0.0001,0.0,0,589824
A_uniform_balanced,reverse,20,5,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.016607660800218582,0.05466415733098984,0.03487353026866913,0.0001,0.0,0,589824
