case,augmentation,action_family,reliability_source,count,mean,std,min,q05,q25,median,q75,q95,max
HEM_PA99.nii.gz,gamma:0.3,gamma,confidence_rank,7077888,0.5000000699973246,0.2886744097922778,1.4128508496469294e-07,0.04996490478515625,0.2502593398094177,0.49914854764938354,0.7493266463279724,0.9499595165252686,0.9935387372970581
HEM_PA99.nii.gz,gamma:0.3,gamma,world_pairwise,7077888,0.4999999293802291,0.28867513404698364,0.0,0.04999999403953553,0.2500000596046448,0.4999999403953552,0.7499999105930328,0.9499998658895492,0.9993919134140015
HEM_PA99.nii.gz,gamma:0.3,gamma,joint_pairwise,7077888,0.28328623421789817,0.2592109272387119,0.0,0.002614046260714531,0.08065555989742279,0.19687223434448242,0.4191097840666771,0.8462432205677032,0.9923304319381714
HEM_PA99.nii.gz,gamma:0.3,gamma,world_actual_action,7077888,0.4999999294272112,0.2886751144133496,0.0,0.05000120401382446,0.24999994039535522,0.4999999701976776,0.749999925494194,0.9499998658895492,0.9975311756134033
HEM_PA99.nii.gz,gamma:0.3,gamma,joint_actual,7077888,0.28569318357468354,0.2607635186729394,0.0,0.0025165789062157285,0.07914512045681477,0.20095717161893845,0.4242981746792793,0.8491559386253356,0.9886329770088196
HCC_10140276_20170721.nii.gz,blur:1.5,blur,confidence_rank,7077888,0.5000000706955532,0.2886594822417208,1.4128508496469294e-07,0.050032228231430054,0.2506119906902313,0.49896615743637085,0.7512736916542053,0.9463658928871155,0.9787774085998535
HCC_10140276_20170721.nii.gz,blur:1.5,blur,world_pairwise,7077888,0.49999992935285165,0.28867513459976046,0.0,0.049999773502349854,0.2499999701976776,0.4999999403953552,0.7499999701976776,0.9499998658895492,0.9999744892120361
HCC_10140276_20170721.nii.gz,blur:1.5,blur,joint_pairwise,7077888,0.2840424932963001,0.27479097986799533,0.0,0.01064243274740875,0.06820591166615486,0.17063606530427933,0.4480780363082886,0.8640275001525879,0.9787274599075317
HCC_10140276_20170721.nii.gz,blur:1.5,blur,world_actual_action,7077888,0.49999992936155074,0.2886751345975453,0.0,0.04999999403953553,0.2499997615814209,0.4999999403953552,0.7499999105930328,0.9499998658895492,0.9999641180038452
HCC_10140276_20170721.nii.gz,blur:1.5,blur,joint_actual,7077888,0.28367019648053293,0.27447550683870336,0.0,0.010699808876961477,0.0684177465736866,0.17075084149837494,0.4453836977481842,0.8639957696199416,0.9787071943283081
HEM_PA97.nii.gz,gamma:0.3,gamma,confidence_rank,7077888,0.5000000713035699,0.2886641538146086,1.4128508496469294e-07,0.04998426139354706,0.2502032518386841,0.4979167580604553,0.7491120100021362,0.9516475796699524,0.9917464256286621
HEM_PA97.nii.gz,gamma:0.3,gamma,world_pairwise,7077888,0.49999992936122234,0.2886751346145533,0.0,0.04999999403953553,0.2499999701976776,0.4999999403953552,0.7499999105930328,0.9499998658895492,0.9999953508377075
HEM_PA97.nii.gz,gamma:0.3,gamma,joint_pairwise,7077888,0.2717210870372116,0.24599079209757124,0.0,0.001986448816023767,0.09213399887084961,0.19425266981124878,0.3709270507097244,0.8414035618305206,0.9917371869087219
HEM_PA97.nii.gz,gamma:0.3,gamma,world_actual_action,7077888,0.499999929366393,0.2886751345947566,0.0,0.0499991774559021,0.24999994039535522,0.4999999403953552,0.7499999701976776,0.9499998658895492,0.9998241066932678
HEM_PA97.nii.gz,gamma:0.3,gamma,joint_actual,7077888,0.2710180519181624,0.24730615847986276,0.0,0.001997102552559227,0.09132097475230694,0.18923018872737885,0.3721499890089035,0.8401559382677077,0.9913975596427917
CYST_PA69.nii.gz,blur:1.5,blur,confidence_rank,7077888,0.5000000710665288,0.28867474319888586,1.4128508496469294e-07,0.049972888082265854,0.24971990287303925,0.49945032596588135,0.7500941157341003,0.9503740668296814,0.9969950318336487
CYST_PA69.nii.gz,blur:1.5,blur,world_pairwise,7077888,0.4999999293514958,0.28867513454186183,0.0,0.05000025033950806,0.2499999701976776,0.4999999403953552,0.7499999105930328,0.9499997496604919,0.9997044205665588
CYST_PA69.nii.gz,blur:1.5,blur,joint_pairwise,7077888,0.273557494031135,0.24053051327339336,0.0,0.0022672256221994763,0.09524905681610107,0.20412231981754303,0.3825579658150673,0.8224555402994154,0.9963900446891785
CYST_PA69.nii.gz,blur:1.5,blur,world_actual_action,7077888,0.49999992938385024,0.2886751345741705,0.0,0.04999995231628418,0.2500191330909729,0.4999999403953552,0.7499997317790985,0.9499998658895492,0.9996981620788574
CYST_PA69.nii.gz,blur:1.5,blur,joint_actual,7077888,0.2729904741233393,0.2401318027835458,0.0,0.002267164632212371,0.09546039439737797,0.20374886691570282,0.3806493729352951,0.8221188694238653,0.9963774681091309
