action_family,reliability_source,count,mean,std,min,q05,q25,median,q75,q95,max
blur,confidence_rank,14155776,0.500000070881041,0.28866711282115337,1.4128508496469294e-07,0.050032228231430054,0.24971990287303925,0.49945032596588135,0.7512736916542053,0.9463658928871155,0.9969950318336487
blur,joint_actual,14155776,0.27833033530193607,0.25793130364231887,0.0,0.0034441209281794727,0.08017962798476219,0.18904393911361694,0.40500788390636444,0.847811222076416,0.9963774681091309
blur,joint_pairwise,14155776,0.27879999366371755,0.25828276949611867,0.0,0.0033938991255126894,0.07992890663444996,0.18915431201457977,0.40731507539749146,0.8479346930980682,0.9963900446891785
blur,world_actual_action,14155776,0.4999999293727005,0.28867513458585786,0.0,0.04999995231628418,0.25000323355197906,0.4999999403953552,0.7499999105930328,0.9499999284744263,0.9999641180038452
blur,world_pairwise,14155776,0.4999999293521737,0.2886751345708112,0.0,0.049999773502349854,0.2499999701976776,0.4999999403953552,0.7499999105930328,0.9499997496604919,0.9999744892120361
gamma,confidence_rank,14155776,0.5000000706504473,0.2886692818489906,1.4128508496469294e-07,0.04998426139354706,0.2502032518386841,0.49914854764938354,0.7491120100021362,0.9516475796699524,0.9935387372970581
gamma,joint_actual,14155776,0.278355617746423,0.2542298452555556,0.0,0.002238817512989044,0.08563435450196266,0.1944219246506691,0.39855368435382843,0.8450632989406586,0.9913975596427917
gamma,joint_pairwise,14155776,0.2775036606275549,0.25275348752430576,0.0,0.0022610705345869064,0.08637801744043827,0.19541405886411667,0.39423147588968277,0.8440330326557159,0.9923304319381714
gamma,world_actual_action,14155776,0.4999999293968021,0.28867512450405325,0.0,0.0499991774559021,0.24999994039535522,0.4999999403953552,0.749999925494194,0.9499999284744263,0.9998241066932678
gamma,world_pairwise,14155776,0.49999992937072574,0.28867513433076847,0.0,0.04999995231628418,0.2500000447034836,0.4999999403953552,0.7499999105930328,0.9499999284744263,0.9999953508377075
