variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou
A_init_no_adaptation,forward,0,HEM_PA81.nii.gz,full_volume,984523,163117,13579692,557916,0.7319658641995272,0.8578674497229096,0.6382897476010396,0.5772446052782787
A_init_no_adaptation,forward,0,HEM_PA89.nii.gz,full_volume,480950,136031,6948715,177277,0.7543083167608735,0.7795215735978904,0.7306749799081472,0.6055337182628314
A_init_no_adaptation,forward,0,HEM_PA101.nii.gz,full_volume,757062,118236,13318156,262736,0.7989695508829104,0.8649191475360392,0.7423646643747095,0.6652367152475234
A_init_no_adaptation,forward,0,HCC_10020116_20180118.nii.gz,full_volume,221626,69739,2977166,36017,0.8073689272287471,0.7606472980625676,0.8602057886300035,0.6769645246226121
A_init_no_adaptation,forward,0,MET_PA13.nii.gz,full_volume,200203,29000,5072628,27897,0.8755813978915511,0.8734746054807311,0.8776983779044278,0.7786970050563983
A_init_no_adaptation,forward,0,HCC_10074592_20130816.nii.gz,full_volume,255481,57795,3875070,11654,0.8803451347407268,0.8155141153487659,0.9563741179553409,0.7862647339426954
A_init_no_adaptation,forward,0,CYST_PA19.nii.gz,full_volume,240008,28511,5684430,32195,0.8877315885057386,0.89382129383768,0.8817243013486259,0.7981271241112818
A_init_no_adaptation,forward,0,HEM_PA13.nii.gz,full_volume,382628,50653,5759317,52232,0.881488145358876,0.8830943429321849,0.8798877799751644,0.7880901232304799
A_uniform_balanced,forward,4,HEM_PA81.nii.gz,full_volume,1002641,169717,13573092,539798,0.7386489671235087,0.855234493217942,0.6500360792225819,0.5856014288417645
A_uniform_balanced,forward,4,HEM_PA89.nii.gz,full_volume,484146,138753,6945993,174081,0.755813245535568,0.7772463914695641,0.7355304477026923,0.6074757208461944
A_uniform_balanced,forward,4,HEM_PA101.nii.gz,full_volume,764170,122047,13314345,255628,0.8018509822850293,0.8622831654098263,0.7493346721605652,0.6692414469564608
A_uniform_balanced,forward,4,HCC_10020116_20180118.nii.gz,full_volume,223139,71419,2975486,34504,0.8081803546172499,0.7575384134873268,0.8660782555706927,0.6781062535327689
A_uniform_balanced,forward,4,MET_PA13.nii.gz,full_volume,200905,29660,5071968,27195,0.876042427479751,0.8713594864788672,0.8807759754493644,0.7794265983860956
