case,order,step,world_actual_pairwise_left,world_actual_pairwise_right,world_actual_pairwise_dice_delta,world_actual_pairwise_foreground_iou_delta,world_actual_pairwise_precision_delta,world_actual_pairwise_recall_delta,world_actual_pairwise_dice_win,joint_actual_pairwise_left,joint_actual_pairwise_right,joint_actual_pairwise_dice_delta,joint_actual_pairwise_foreground_iou_delta,joint_actual_pairwise_precision_delta,joint_actual_pairwise_recall_delta,joint_actual_pairwise_dice_win,world_actual_uniform_left,world_actual_uniform_right,world_actual_uniform_dice_delta,world_actual_uniform_foreground_iou_delta,world_actual_uniform_precision_delta,world_actual_uniform_recall_delta,world_actual_uniform_dice_win,joint_actual_confidence_left,joint_actual_confidence_right,joint_actual_confidence_dice_delta,joint_actual_confidence_foreground_iou_delta,joint_actual_confidence_precision_delta,joint_actual_confidence_recall_delta,joint_actual_confidence_dice_win
CYST_PA19.nii.gz,forward,20,A3_world_actual,A1_world_pairwise,3.666862308304708e-05,5.890576134093273e-05,0.0003878049072187917,-0.0003490042358093026,True,A4_joint_actual,A2_joint_pairwise,-8.663521080909398e-05,-0.00013915749829118695,-0.00013199197977808996,-3.673728797992659e-05,False,A3_world_actual,A_uniform_balanced,0.0001747691353981562,0.0002807205207637775,1.2399563094511734e-05,0.0003526779646073619,True,A4_joint_actual,A0_confidence_rank,-0.00046045687084828035,-0.0007398550733249687,-0.002890702635682252,0.0021932160924016397,False
CYST_PA19.nii.gz,reverse,20,A3_world_actual,A1_world_pairwise,4.791419884586645e-05,7.693349455517584e-05,0.00035431131187491083,-0.0002902245750414645,True,A4_joint_actual,A2_joint_pairwise,-0.00011255444433733164,-0.00018065771615782822,-0.00018771112962856495,-2.938983038391907e-05,False,A3_world_actual,A_uniform_balanced,8.513584268055041e-05,0.00013669391575132916,-0.0006219230314314927,0.0008633262675282749,True,A4_joint_actual,A0_confidence_rank,-0.0005325004743100825,-0.00085502199994969,-0.0031988608866176937,0.002395271176291236,False
HCC_10020116_20180118.nii.gz,forward,20,A3_world_actual,A1_world_pairwise,0.00044105300667351965,0.0006181993385242501,0.0008213755160315639,-0.0002173550222595022,True,A4_joint_actual,A2_joint_pairwise,6.182963862755297e-05,8.693926456304624e-05,-7.387956228699366e-05,0.0002872191365572707,True,A3_world_actual,A_uniform_balanced,-0.0016889047480355135,-0.0023714711337970984,-0.0015458554480120013,-0.0018552803685719654,False,A4_joint_actual,A0_confidence_rank,-0.002302275106618512,-0.0032436813936225217,-0.005106695140783546,0.00246465069883528,False
HCC_10020116_20180118.nii.gz,reverse,20,A3_world_actual,A1_world_pairwise,0.00045182919719188863,0.0006328323103467204,0.0007989752347414836,-0.0001591349270114728,True,A4_joint_actual,A2_joint_pairwise,0.00012901949786936484,0.00018125291614334849,3.952840588350437e-05,0.0002755751175075316,True,A3_world_actual,A_uniform_balanced,-0.0023402454793569616,-0.003285424566507711,-0.002917043702271749,-0.001257554057358501,False,A4_joint_actual,A0_confidence_rank,-0.002623058030934655,-0.003693519304191817,-0.005756374121148711,0.0027790392131747943,False
HCC_10074592_20130816.nii.gz,forward,20,A3_world_actual,A1_world_pairwise,0.00021660319047123178,0.00033230449932453165,0.0005166571825310218,-0.00027327006944055654,True,A4_joint_actual,A2_joint_pairwise,-0.00010816852673467547,-0.0001660946246410111,-0.00010087521703316948,-0.0001160461938719548,False,A3_world_actual,A_uniform_balanced,0.0006081117849704443,0.0009326225544138422,0.0009984805556978449,-4.1177681696535906e-05,True,A4_joint_actual,A0_confidence_rank,-0.00129858685272366,-0.001996084491348804,-0.0027403600969387876,0.001040672319239322,False
HCC_10074592_20130816.nii.gz,reverse,20,A3_world_actual,A1_world_pairwise,0.0002316429016396837,0.00035467983390280455,0.0005085718450361654,-0.00022460553652647874,True,A4_joint_actual,A2_joint_pairwise,-0.00012863819975938995,-0.00019699503127978968,-0.00014282736643123073,-0.00010107249143687103,False,A3_world_actual,A_uniform_balanced,0.0004021604929684841,0.0006156758520792227,0.0004565677326735518,0.00029947404870200867,True,A4_joint_actual,A0_confidence_rank,-0.0014290745407810057,-0.0021909613087459645,-0.003086402241731845,0.0012802515582008844,False
HEM_PA101.nii.gz,forward,20,A3_world_actual,A1_world_pairwise,-0.0004594292317695592,-0.0006530572709517735,-2.6479964412406964e-05,-0.0008972365115443859,False,A4_joint_actual,A2_joint_pairwise,-0.00025981596799162787,-0.00036859575911973863,-0.0004046309008012283,-0.00011374801676411472,False,A3_world_actual,A_uniform_balanced,0.00114410905248985,0.0016241017927286494,0.0006793279926023965,0.0016130645480771921,True,A4_joint_actual,A0_confidence_rank,0.001764014178303408,0.002498313034528077,-0.0027982619340297665,0.0063159566894620545,True
HEM_PA101.nii.gz,reverse,20,A3_world_actual,A1_world_pairwise,-0.0004487367425285438,-0.0006371492002787971,0.00013680907718560675,-0.0010502079823651034,False,A4_joint_actual,A2_joint_pairwise,-0.0003157978039096676,-0.00044770331685228815,-0.00042912488203050714,-0.00019905902933714525,False,A3_world_actual,A_uniform_balanced,0.0015869715595182576,0.0022494390628083893,0.00021656790716773067,0.0029878466127606362,True,A4_joint_actual,A0_confidence_rank,0.001893302507315231,0.00267913200459835,-0.003158030339217799,0.007031784725994861,True
HEM_PA13.nii.gz,forward,20,A3_world_actual,A1_world_pairwise,-2.1976782603072564e-05,-3.521409984441615e-05,0.0003194791971135036,-0.00043002345582487944,False,A4_joint_actual,A2_joint_pairwise,-8.072518297019826e-05,-0.0001292983873961706,-0.00016688624167737753,2.299590672860674e-05,False,A3_world_actual,A_uniform_balanced,0.0010965846246039357,0.001755335066369268,0.0015730517474180639,0.0005220070827391954,True,A4_joint_actual,A0_confidence_rank,0.0002507107422666799,0.0004014469975293089,-0.0025912038421467276,0.003635652853791971,True
HEM_PA13.nii.gz,reverse,20,A3_world_actual,A1_world_pairwise,-3.5727406364371994e-05,-5.7166198666802615e-05,0.0002552137057000303,-0.00038633123304054884,False,A4_joint_actual,A2_joint_pairwise,-0.00010528167439205482,-0.00016834365709839094,-0.00028273739337714154,0.00011038035229737897,False,A3_world_actual,A_uniform_balanced,0.001026666849419433,0.0016411748877271926,0.0009986627794462688,0.0010555121188428052,True,A4_joint_actual,A0_confidence_rank,0.00010535053195048771,0.0001684220378852519,-0.0028983645766205157,0.00372073770868786,True
HEM_PA81.nii.gz,forward,20,A3_world_actual,A1_world_pairwise,9.346732064585694e-05,0.0001242390552543826,-0.00038046199823393856,0.0005757115840562266,True,A4_joint_actual,A2_joint_pairwise,-0.0003027516964153598,-0.00040472275447289707,-0.0010627722692444497,0.00048040797723603035,False,A3_world_actual,A_uniform_balanced,0.0021759731577003505,0.0028874549432610364,-0.0014824732338329927,0.005867979219923769,True,A4_joint_actual,A0_confidence_rank,0.0026581122073402463,0.0035448200669966345,-0.004733659227683318,0.010144971697422123,True
HEM_PA81.nii.gz,reverse,20,A3_world_actual,A1_world_pairwise,-0.00028291222662280013,-0.00037756345761152943,0.0003017045366994209,-0.0008979285404479009,False,A4_joint_actual,A2_joint_pairwise,-0.00033846927932690285,-0.0004526510963268615,-0.0008333611973944111,0.00018995888978423636,False,A3_world_actual,A_uniform_balanced,0.0008534470460692667,0.0011379202328406501,-0.00238295024702484,0.004224478245168806,True,A4_joint_actual,A0_confidence_rank,0.0023783587185548516,0.003173640858143645,-0.005341048902323897,0.01046265038682237,True
HEM_PA89.nii.gz,forward,20,A3_world_actual,A1_world_pairwise,-0.0009452667710996288,-0.001212705594645369,-0.0009798145569360761,-0.0008993857742085609,False,A4_joint_actual,A2_joint_pairwise,-0.0005154075272817416,-0.0006580574638672676,-0.0006613071889112199,-0.0003357504326014782,False,A3_world_actual,A_uniform_balanced,0.00022839529169416117,0.00029273856281375465,-0.000835882692894141,0.0015025211667100136,True,A4_joint_actual,A0_confidence_rank,0.0009269600940509104,0.001182153271188091,-0.0026401539184527367,0.005207929787140242,True
HEM_PA89.nii.gz,reverse,20,A3_world_actual,A1_world_pairwise,-0.000533483298232551,-0.0006817810610937336,-0.00015082042498415493,-0.0009996551341711069,False,A4_joint_actual,A2_joint_pairwise,-0.00042672569090640433,-0.0005434793736903698,-0.0005402447463588311,-0.0002840965198935841,False,A3_world_actual,A_uniform_balanced,0.0010239003229242094,0.0013068969461788038,-0.00022787811069124864,0.0025462340499553537,True,A4_joint_actual,A0_confidence_rank,0.0010942361203994944,0.0013919333433199954,-0.002783008828504019,0.005818661343275244,True
MET_PA13.nii.gz,forward,20,A3_world_actual,A1_world_pairwise,8.502298300783195e-05,0.00013768352198362255,9.290706612807842e-05,7.452871547564133e-05,True,A4_joint_actual,A2_joint_pairwise,2.138374655735742e-05,3.469679670864423e-05,-0.0004864675737461521,0.0006663743971941916,True,A3_world_actual,A_uniform_balanced,0.001604850803832214,0.002595295356304539,-0.0001912945692096324,0.0038360368259535704,True,A4_joint_actual,A0_confidence_rank,0.0006796919225801057,0.001102199618527866,-0.003334668461101975,0.005729943007452776,True
MET_PA13.nii.gz,reverse,20,A3_world_actual,A1_world_pairwise,-6.988852606193419e-06,-1.131352989991452e-05,0.00019212115413536068,-0.00025865848312145445,False,A4_joint_actual,A2_joint_pairwise,-0.00013034529760724833,-0.0002113293526702087,-0.0004187760780570704,0.00024112231477424473,False,A3_world_actual,A_uniform_balanced,0.0013172125731361062,0.002129761783136841,-0.000718172688840224,0.0038667251205610764,True,A4_joint_actual,A0_confidence_rank,0.00021926694445706385,0.0003553865002994261,-0.003599367240411544,0.0050767207365191025,True
