variant,order,step,round,case,patch_index,reliability_source,pseudo_positive_voxels,pseudo_negative_voxels,positive_fraction,positive_weight_sum,positive_weight_mean,L_pos,negative_weight_sum,negative_weight_mean,L_neg,total_loss
A_uniform_balanced,forward,1,1,HEM_PA99.nii.gz,1,uniform_balanced,396048,6681840,0.0559556744992733,396048.0,1.0,0.05504733324050903,6681840.0,1.0,0.00295031419955194,0.02899882383644581
A_uniform_balanced,forward,2,1,HCC_10140276_20170721.nii.gz,1,uniform_balanced,182869,6895019,0.025836661458015442,182869.0,1.0,1.3476771116256714,6895019.0,1.0,0.0054223244078457355,0.6765497326850891
A_uniform_balanced,forward,3,1,HEM_PA97.nii.gz,1,uniform_balanced,279645,6798243,0.039509668946266174,279645.0,1.0,0.0417998768389225,6798243.0,1.0,0.021061930805444717,0.03143090382218361
A_uniform_balanced,forward,4,1,CYST_PA69.nii.gz,1,uniform_balanced,435789,6642099,0.061570484191179276,435789.0,1.0,0.42851197719573975,6642099.0,0.9999999403953552,0.022823577746748924,0.2256677746772766
A_uniform_balanced,forward,5,2,HEM_PA99.nii.gz,1,uniform_balanced,396048,6681840,0.0559556744992733,396048.0,1.0,0.05090247839689255,6681840.0,1.0,0.0031985791865736246,0.027050528675317764
A_uniform_balanced,forward,6,2,HCC_10140276_20170721.nii.gz,1,uniform_balanced,182869,6895019,0.025836661458015442,182869.0,1.0,1.2725613117218018,6895019.0,1.0,0.005891698878258467,0.639226496219635
A_uniform_balanced,forward,7,2,HEM_PA97.nii.gz,1,uniform_balanced,279645,6798243,0.039509668946266174,279645.0,1.0,0.037630844861269,6798243.0,1.0,0.023116325959563255,0.03037358447909355
A_uniform_balanced,forward,8,2,CYST_PA69.nii.gz,1,uniform_balanced,435789,6642099,0.061570484191179276,435789.0,1.0,0.38627779483795166,6642099.0,0.9999999403953552,0.024003302678465843,0.20514054596424103
A_uniform_balanced,forward,9,3,HEM_PA99.nii.gz,1,uniform_balanced,396048,6681840,0.0559556744992733,396048.0,1.0,0.045168086886405945,6681840.0,1.0,0.0036626227665692568,0.024415355175733566
A_uniform_balanced,forward,10,3,HCC_10140276_20170721.nii.gz,1,uniform_balanced,182869,6895019,0.025836661458015442,182869.0,1.0,1.1534172296524048,6895019.0,1.0,0.006731129251420498,0.5800741910934448
