variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou
A_init_no_adaptation,forward,0,CYST_PA37.nii.gz,full_volume,234118,38467,5444554,18228,0.8919953289098949,0.8588807161069024,0.9277658453076332,0.8050465419358832
A_init_no_adaptation,forward,0,CYST_PA38.nii.gz,full_volume,222688,6115,3616767,13351,0.9581234053721479,0.9732739518275547,0.9434373133253403,0.9196131387464176
A_init_no_adaptation,forward,0,CYST_PA53.nii.gz,full_volume,374820,23789,2970057,9514,0.9574643364842651,0.9403199626701856,0.9752454896001915,0.9183996001205519
A_init_no_adaptation,forward,0,CYST_PA54.nii.gz,full_volume,218533,13604,3535274,8653,0.9515439026567362,0.9413966752391907,0.961912265720599,0.9075667594169193
A_init_no_adaptation,forward,0,CYST_PA74.nii.gz,full_volume,259795,24147,5011418,11760,0.9353605870058704,0.9149579843770911,0.9566938557566607,0.8785703174141535
A_init_no_adaptation,forward,0,FNH_PA10.nii.gz,full_volume,966893,74186,18452170,38860,0.9447702596011788,0.9287412386572008,0.9613622827871257,0.8953218654016569
A_init_no_adaptation,forward,0,FNH_PA32.nii.gz,full_volume,262957,13563,4007929,18861,0.941927649559944,0.9509511066107335,0.9330738277895663,0.8902299064597926
A_init_no_adaptation,forward,0,HCC_10081574_20140213.nii.gz,full_volume,250712,54467,4016559,9862,0.8862949025458107,0.821524416817671,0.9621527857729474,0.7958075298135798
A_init_no_adaptation,forward,0,HCC_10142924_20170911.nii.gz,full_volume,182011,32752,3198807,30059,0.8528440865631289,0.8474970083301128,0.858259065402933,0.7434421743143999
A_init_no_adaptation,forward,0,HCC_10147777_20171222.nii.gz,full_volume,233065,68794,3163196,16317,0.845601107319666,0.7720988938544154,0.9345702576769774,0.7325033943477823
A_init_no_adaptation,forward,0,HCC_PA0.nii.gz,full_volume,1369225,296713,22433255,32327,0.8927331466443248,0.8218943322020388,0.9769348550749455,0.806249319158082
A_init_no_adaptation,forward,0,HEM_PA24.nii.gz,full_volume,280298,33402,4199293,19557,0.913684999714777,0.8935224737009883,0.9347784762635274,0.8410866088334229
A_init_no_adaptation,forward,0,HEM_PA34.nii.gz,full_volume,336096,35134,5702966,11604,0.9349894982821694,0.9053578643967352,0.9666264020707507,0.8779157546090472
A_init_no_adaptation,forward,0,HEM_PA56.nii.gz,full_volume,372128,14239,3660382,11043,0.9671465216792413,0.9631464384898296,0.971179969256546,0.9363830804458871
A_init_no_adaptation,forward,0,HEM_PA66.nii.gz,full_volume,227684,9407,3310553,8249,0.9626741983493438,0.9603232514097962,0.9650366841433797,0.9280345642781446
A_init_no_adaptation,forward,0,ICC_PA18.nii.gz,full_volume,942204,166980,18629380,57764,0.8934434312937143,0.8494568980439675,0.9422341514928477,0.8074087277239431
A_init_no_adaptation,forward,0,MET_PA19.nii.gz,full_volume,213334,19227,5021018,21429,0.9130025421335091,0.9173249169035221,0.9087207098222463,0.8399307059333044
A_init_no_adaptation,forward,0,MET_PA25.nii.gz,full_volume,209913,43402,5068641,7772,0.8913503184713376,0.8286639164676392,0.964297034706112,0.8039963690264165
A_uniform_balanced,forward,4,CYST_PA37.nii.gz,full_volume,234870,39581,5443440,17476,0.8916907271681501,0.8557811776965651,0.9307458806559248,0.8045504526816636
A_uniform_balanced,forward,4,CYST_PA38.nii.gz,full_volume,222937,6264,3616618,13102,0.9583741724701229,0.972670276307695,0.9444922237426866,0.9200752776482338
A_uniform_balanced,forward,4,CYST_PA53.nii.gz,full_volume,375025,24274,2969572,9309,0.9571444796224763,0.9392084628311115,0.9757788798284825,0.9178112029133056
A_uniform_balanced,forward,4,CYST_PA54.nii.gz,full_volume,218739,13860,3535018,8447,0.9514838457104952,0.9404124695291037,0.962819011734878,0.9074574977390207
A_uniform_balanced,forward,4,CYST_PA74.nii.gz,full_volume,260289,24873,5010692,11266,0.9350855102323083,0.9127758958065941,0.9585130084145017,0.8780850661880794
A_uniform_balanced,forward,4,FNH_PA10.nii.gz,full_volume,967713,76359,18449997,38040,0.9441908455599868,0.926864239247868,0.9621775923114323,0.8942817379347054
A_uniform_balanced,forward,4,FNH_PA32.nii.gz,full_volume,263239,13771,4007721,18579,0.9421109894278741,0.9502869932493412,0.9340744735964346,0.8905574970651817
A_uniform_balanced,forward,4,HCC_10081574_20140213.nii.gz,full_volume,251071,55898,4015128,9503,0.88476467862347,0.8179034365033603,0.9635305134050213,0.7933434869435527
A_uniform_balanced,forward,4,HCC_10142924_20170911.nii.gz,full_volume,182869,33539,3198020,29201,0.8535747459612862,0.8450195926213449,0.8623048993256943,0.7445533347719343
A_uniform_balanced,forward,4,HCC_10147777_20171222.nii.gz,full_volume,233662,69999,3161991,15720,0.8450048187934753,0.76948307487626,0.9369641754416919,0.7316089560744065
A_uniform_balanced,forward,4,HCC_PA0.nii.gz,full_volume,1370004,304652,22425316,31548,0.8907096009112517,0.8180808476487111,0.9774906674886126,0.8029543946679295
A_uniform_balanced,forward,4,HEM_PA24.nii.gz,full_volume,280879,34093,4198602,18976,0.9136846625148213,0.8917586325133663,0.9367160794383952,0.8410860373471319
A_uniform_balanced,forward,4,HEM_PA34.nii.gz,full_volume,336799,36306,5701794,10901,0.9345079459770673,0.9026922716125487,0.9686482599942479,0.8770670249944011
A_uniform_balanced,forward,4,HEM_PA56.nii.gz,full_volume,372410,14524,3660097,10761,0.9671668149148492,0.9624638827293543,0.9719159330951455,0.9364211267428557
A_uniform_balanced,forward,4,HEM_PA66.nii.gz,full_volume,227924,9546,3310414,8009,0.9629174297585777,0.9598012380511223,0.9660539220880504,0.9284867544677956
A_uniform_balanced,forward,4,ICC_PA18.nii.gz,full_volume,943499,170564,18625796,56469,0.892606589023529,0.8468991430466679,0.9435291929341739,0.806042893316885
A_uniform_balanced,forward,4,MET_PA19.nii.gz,full_volume,214456,20631,5019614,20307,0.9128700649143343,0.9122410001403736,0.9134999978701925,0.8397064927132196
A_uniform_balanced,forward,4,MET_PA25.nii.gz,full_volume,210177,44459,5067584,7508,0.8899752498830245,0.8254017499489468,0.9655097962652457,0.8017616271972656
A_uniform_balanced,forward,8,CYST_PA37.nii.gz,full_volume,235985,41632,5441389,16361,0.8905716059423017,0.850038001995555,0.9351644171098412,0.8027301362687004
A_uniform_balanced,forward,8,CYST_PA38.nii.gz,full_volume,223366,6533,3616349,12673,0.9587799235091364,0.9715831734805284,0.9463097200038977,0.9208235080718302
A_uniform_balanced,forward,8,CYST_PA53.nii.gz,full_volume,375355,25259,2968587,8979,0.9563818240189159,0.936949282850824,0.9766375080008535,0.9164097042674069
A_uniform_balanced,forward,8,CYST_PA54.nii.gz,full_volume,219112,14398,3534480,8074,0.9512216298817442,0.9383409704081196,0.9644608382558785,0.9069805947413736
A_uniform_balanced,forward,8,CYST_PA74.nii.gz,full_volume,261076,26180,5009385,10479,0.9343982133494151,0.9088617818252709,0.9614111321831673,0.8768737299947941
A_uniform_balanced,forward,8,FNH_PA10.nii.gz,full_volume,968965,80757,18445599,36788,0.9428137048614067,0.9230682028194132,0.9634224307558615,0.8918141572558007
A_uniform_balanced,forward,8,FNH_PA32.nii.gz,full_volume,263703,14182,4007310,18115,0.9422961820822829,0.9489644997031146,0.9357209262715653,0.8908885135135135
