epoch,model,mean_normalized_mse,batch_count,train_case_count,test_labels_used_in_loss
1,action_agnostic,0.03112635075480544,56,30,False
1,action_conditioned,0.03096780758642126,56,30,False
2,action_agnostic,0.02868063287210784,56,30,False
2,action_conditioned,0.028043896371465444,56,30,False
3,action_agnostic,0.029123144213891856,56,30,False
3,action_conditioned,0.027792877977065342,56,30,False
4,action_agnostic,0.029509597083753242,56,30,False
4,action_conditioned,0.027927877277501727,56,30,False
5,action_agnostic,0.030261249356304427,56,30,False
5,action_conditioned,0.028389467531399402,56,30,False
6,action_agnostic,0.02898045433435722,56,30,False
6,action_conditioned,0.026977937153008367,56,30,False
7,action_agnostic,0.030049882978866144,56,30,False
7,action_conditioned,0.027866370003071746,56,30,False
8,action_agnostic,0.030294153034836718,56,30,False
8,action_conditioned,0.02816643956508155,56,30,False
9,action_agnostic,0.029949341746812155,56,30,False
9,action_conditioned,0.02777177530411531,56,30,False
10,action_agnostic,0.029217677706453418,56,30,False
10,action_conditioned,0.026928284459115406,56,30,False
11,action_agnostic,0.028352768000331707,56,30,False
11,action_conditioned,0.026092046627517056,56,30,False
12,action_agnostic,0.029912434176367242,56,30,False
12,action_conditioned,0.027459639638924012,56,30,False
13,action_agnostic,0.030890939067051346,56,30,False
13,action_conditioned,0.028349330336953114,56,30,False
14,action_agnostic,0.02934553494144763,56,30,False
14,action_conditioned,0.0268843072657806,56,30,False
15,action_agnostic,0.02922766615353924,56,30,False
15,action_conditioned,0.0268448444673725,56,30,False
16,action_agnostic,0.030339772642556845,56,30,False
16,action_conditioned,0.027776015365296707,56,30,False
17,action_agnostic,0.028414128306654414,56,30,False
17,action_conditioned,0.026179743452563083,56,30,False
18,action_agnostic,0.02863737675111874,56,30,False
18,action_conditioned,0.02623533664986358,56,30,False
19,action_agnostic,0.028537757732140432,56,30,False
19,action_conditioned,0.026126427147703777,56,30,False
20,action_agnostic,0.030487798869476786,56,30,False
20,action_conditioned,0.028078703563161462,56,30,False
