source,action,case,region,count,mean,median,p10,p50,p90
confidence_rank,blur,CYST_PA62.nii.gz,FN,148351,0.034342300002509075,0.035,0.005,0.035,0.065
confidence_rank,blur,CYST_PA62.nii.gz,FP,27999,0.022548745345859978,0.025,0.005,0.025,0.045
confidence_rank,blur,CYST_PA62.nii.gz,TN,13764530,0.5131442959036209,0.505,0.245,0.505,0.805
confidence_rank,blur,CYST_PA62.nii.gz,TP,214896,0.041754213206953335,0.035,0.005,0.035,0.075
confidence_rank,gamma,CYST_PA62.nii.gz,FN,148351,0.034342300002509075,0.035,0.005,0.035,0.065
confidence_rank,gamma,CYST_PA62.nii.gz,FP,27999,0.022548745345859978,0.025,0.005,0.025,0.045
confidence_rank,gamma,CYST_PA62.nii.gz,TN,13764530,0.5131442959036209,0.505,0.245,0.505,0.805
confidence_rank,gamma,CYST_PA62.nii.gz,TP,214896,0.041754213206953335,0.035,0.005,0.035,0.075
joint_product,blur,CYST_PA62.nii.gz,FN,148351,0.008620604761809047,0.005,0.005,0.005,0.025
joint_product,blur,CYST_PA62.nii.gz,FP,27999,0.0006255661707090193,0.005,0.005,0.005,0.005
joint_product,blur,CYST_PA62.nii.gz,TN,13764530,0.2709459439143363,0.225,0.045,0.225,0.505
joint_product,blur,CYST_PA62.nii.gz,TP,214896,0.004332053832312107,0.005,0.005,0.005,0.015
joint_product,gamma,CYST_PA62.nii.gz,FN,148351,0.008620604761809047,0.005,0.005,0.005,0.025
joint_product,gamma,CYST_PA62.nii.gz,FP,27999,0.0006255661707090193,0.005,0.005,0.005,0.005
joint_product,gamma,CYST_PA62.nii.gz,TN,13764530,0.2709459439143363,0.225,0.045,0.225,0.505
joint_product,gamma,CYST_PA62.nii.gz,TP,214896,0.004332053832312107,0.005,0.005,0.005,0.015
world_pairwise,blur,CYST_PA62.nii.gz,FN,148351,0.18143995032623972,0.055,0.015,0.055,0.565
world_pairwise,blur,CYST_PA62.nii.gz,FP,27999,0.027257863789942653,0.015,0.005,0.015,0.045
world_pairwise,blur,CYST_PA62.nii.gz,TN,13764530,0.5111957364286223,0.515,0.115,0.515,0.905
world_pairwise,blur,CYST_PA62.nii.gz,TP,214896,0.06439374907212818,0.025,0.005,0.025,0.165
world_pairwise,gamma,CYST_PA62.nii.gz,FN,148351,0.18143995032623972,0.055,0.015,0.055,0.565
world_pairwise,gamma,CYST_PA62.nii.gz,FP,27999,0.027257863789942653,0.015,0.005,0.015,0.045
world_pairwise,gamma,CYST_PA62.nii.gz,TN,13764530,0.5111957364286223,0.515,0.115,0.515,0.905
world_pairwise,gamma,CYST_PA62.nii.gz,TP,214896,0.06439374907212818,0.025,0.005,0.025,0.165
confidence_rank,all,CYST_PA62.nii.gz,TP,429792,0.041754213206953335,0.035,0.005,0.035,0.075
confidence_rank,all,CYST_PA62.nii.gz,FP,55998,0.022548745345859978,0.025,0.005,0.025,0.045
confidence_rank,all,CYST_PA62.nii.gz,TN,27529060,0.5131442959036209,0.505,0.245,0.505,0.805
confidence_rank,all,CYST_PA62.nii.gz,FN,296702,0.034342300002509075,0.035,0.005,0.035,0.065
world_pairwise,all,CYST_PA62.nii.gz,TP,429792,0.06439374907212818,0.025,0.005,0.025,0.165
