case,patch_index,patch_kind,method,scope,voxel_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman
CYST_PA62.nii.gz,0,context,confidence_rank,overall,7077888,1.0,0.5000000596046448,,1.0,
CYST_PA62.nii.gz,0,context,confidence_rank,foreground,0,,,,,
CYST_PA62.nii.gz,0,context,confidence_rank,background,7077888,1.0,0.5000000596046448,,1.0,
CYST_PA62.nii.gz,0,context,real_gamma_world_stability,overall,7077888,1.0,0.4999999403953552,,1.0,
CYST_PA62.nii.gz,0,context,real_gamma_world_stability,foreground,0,,,,,
CYST_PA62.nii.gz,0,context,real_gamma_world_stability,background,7077888,1.0,0.4999999403953552,,1.0,
CYST_PA62.nii.gz,0,context,real_blur_world_stability,overall,7077888,1.0,0.4999999403953552,,1.0,
CYST_PA62.nii.gz,0,context,real_blur_world_stability,foreground,0,,,,,
CYST_PA62.nii.gz,0,context,real_blur_world_stability,background,7077888,1.0,0.4999999403953552,,1.0,
CYST_PA62.nii.gz,0,context,real_pairwise_world_stability,overall,7077888,1.0,0.4999999403953552,,1.0,
CYST_PA62.nii.gz,0,context,real_pairwise_world_stability,foreground,0,,,,,
CYST_PA62.nii.gz,0,context,real_pairwise_world_stability,background,7077888,1.0,0.4999999403953552,,1.0,
CYST_PA62.nii.gz,0,context,real_gamma_joint_product,overall,7077888,1.0,0.25,,1.0,
CYST_PA62.nii.gz,0,context,real_gamma_joint_product,foreground,0,,,,,
CYST_PA62.nii.gz,0,context,real_gamma_joint_product,background,7077888,1.0,0.25,,1.0,
CYST_PA62.nii.gz,0,context,real_blur_joint_product,overall,7077888,1.0,0.25,,1.0,
CYST_PA62.nii.gz,0,context,real_blur_joint_product,foreground,0,,,,,
CYST_PA62.nii.gz,0,context,real_blur_joint_product,background,7077888,1.0,0.25,,1.0,
CYST_PA62.nii.gz,0,context,real_pairwise_joint_product,overall,7077888,1.0,0.25,,1.0,
CYST_PA62.nii.gz,0,context,real_pairwise_joint_product,foreground,0,,,,,
CYST_PA62.nii.gz,0,context,real_pairwise_joint_product,background,7077888,1.0,0.25,,1.0,
