method,case,region,voxel_count,reliability_mean,aggregation
confidence_rank,CYST_PA62.nii.gz,FN,173399,0.031513841744637026,case_voxel_weighted
confidence_rank,CYST_PA62.nii.gz,FP,60475,0.018202448642825244,case_voxel_weighted
confidence_rank,CYST_PA62.nii.gz,TN,27684535,0.5102856922600307,case_voxel_weighted
confidence_rank,CYST_PA62.nii.gz,TP,393143,0.0564437937349725,case_voxel_weighted
real_blur_joint_product,CYST_PA62.nii.gz,FN,173399,0.0015933530275118357,case_voxel_weighted
real_blur_joint_product,CYST_PA62.nii.gz,FP,60475,0.0008543753048912316,case_voxel_weighted
real_blur_joint_product,CYST_PA62.nii.gz,TN,27684535,0.2915470279335559,case_voxel_weighted
real_blur_joint_product,CYST_PA62.nii.gz,TP,393143,0.016697790551954448,case_voxel_weighted
real_blur_world_stability,CYST_PA62.nii.gz,FN,173399,0.03758493390378739,case_voxel_weighted
real_blur_world_stability,CYST_PA62.nii.gz,FP,60475,0.03470246747881482,case_voxel_weighted
real_blur_world_stability,CYST_PA62.nii.gz,TN,27684535,0.5100033498657339,case_voxel_weighted
real_blur_world_stability,CYST_PA62.nii.gz,TP,393143,0.07110070133166292,case_voxel_weighted
real_gamma_joint_product,CYST_PA62.nii.gz,FN,173399,0.001702533267515349,case_voxel_weighted
real_gamma_joint_product,CYST_PA62.nii.gz,FP,60475,0.000761701711088079,case_voxel_weighted
real_gamma_joint_product,CYST_PA62.nii.gz,TN,27684535,0.29075345176374107,case_voxel_weighted
real_gamma_joint_product,CYST_PA62.nii.gz,TP,393143,0.019413196245488082,case_voxel_weighted
real_gamma_world_stability,CYST_PA62.nii.gz,FN,173399,0.0346599757457892,case_voxel_weighted
real_gamma_world_stability,CYST_PA62.nii.gz,FP,60475,0.02535846224891691,case_voxel_weighted
real_gamma_world_stability,CYST_PA62.nii.gz,TN,27684535,0.5095553153188084,case_voxel_weighted
real_gamma_world_stability,CYST_PA62.nii.gz,TP,393143,0.10537802957141373,case_voxel_weighted
real_pairwise_joint_product,CYST_PA62.nii.gz,FN,173399,0.0014931984710559894,case_voxel_weighted
real_pairwise_joint_product,CYST_PA62.nii.gz,FP,60475,0.0006586219390394677,case_voxel_weighted
real_pairwise_joint_product,CYST_PA62.nii.gz,TN,27684535,0.29308444357039554,case_voxel_weighted
real_pairwise_joint_product,CYST_PA62.nii.gz,TP,393143,0.012455835336077088,case_voxel_weighted
real_pairwise_world_stability,CYST_PA62.nii.gz,FN,173399,0.035696355965680056,case_voxel_weighted
real_pairwise_world_stability,CYST_PA62.nii.gz,FP,60475,0.026889447108336153,case_voxel_weighted
real_pairwise_world_stability,CYST_PA62.nii.gz,TN,27684535,0.510251684945973,case_voxel_weighted
real_pairwise_world_stability,CYST_PA62.nii.gz,TP,393143,0.05564811911707886,case_voxel_weighted
confidence_rank,HEM_PA29.nii.gz,FN,423251,0.05492507261414624,case_voxel_weighted
confidence_rank,HEM_PA29.nii.gz,FP,56834,0.023197182420540058,case_voxel_weighted
confidence_rank,HEM_PA29.nii.gz,TN,27314808,0.5165934050548397,case_voxel_weighted
confidence_rank,HEM_PA29.nii.gz,TP,516659,0.03979936346567402,case_voxel_weighted
real_blur_joint_product,HEM_PA29.nii.gz,FN,423251,0.005885934621795031,case_voxel_weighted
real_blur_joint_product,HEM_PA29.nii.gz,FP,56834,0.0006860405579850792,case_voxel_weighted
real_blur_joint_product,HEM_PA29.nii.gz,TN,27314808,0.2927164715725665,case_voxel_weighted
real_blur_joint_product,HEM_PA29.nii.gz,TP,516659,0.002441356944837925,case_voxel_weighted
real_blur_world_stability,HEM_PA29.nii.gz,FN,423251,0.05320574665994749,case_voxel_weighted
real_blur_world_stability,HEM_PA29.nii.gz,FP,56834,0.021636010627925792,case_voxel_weighted
real_blur_world_stability,HEM_PA29.nii.gz,TN,27314808,0.5164334867098055,case_voxel_weighted
real_blur_world_stability,HEM_PA29.nii.gz,TP,516659,0.04982701345493907,case_voxel_weighted
real_gamma_joint_product,HEM_PA29.nii.gz,FN,423251,0.007272685936121,case_voxel_weighted
real_gamma_joint_product,HEM_PA29.nii.gz,FP,56834,0.0010627390314127266,case_voxel_weighted
real_gamma_joint_product,HEM_PA29.nii.gz,TN,27314808,0.298766536541876,case_voxel_weighted
real_gamma_joint_product,HEM_PA29.nii.gz,TP,516659,0.003280715132976258,case_voxel_weighted
real_gamma_world_stability,HEM_PA29.nii.gz,FN,423251,0.05701147907287232,case_voxel_weighted
real_gamma_world_stability,HEM_PA29.nii.gz,FP,56834,0.027327249702001292,case_voxel_weighted
real_gamma_world_stability,HEM_PA29.nii.gz,TN,27314808,0.5161329021651413,case_voxel_weighted
real_gamma_world_stability,HEM_PA29.nii.gz,TP,516659,0.06197462035446862,case_voxel_weighted
real_pairwise_joint_product,HEM_PA29.nii.gz,FN,423251,0.005597296934783981,case_voxel_weighted
real_pairwise_joint_product,HEM_PA29.nii.gz,FP,56834,0.0006722156762779007,case_voxel_weighted
real_pairwise_joint_product,HEM_PA29.nii.gz,TN,27314808,0.2991242325639124,case_voxel_weighted
real_pairwise_joint_product,HEM_PA29.nii.gz,TP,516659,0.00210499091609365,case_voxel_weighted
real_pairwise_world_stability,HEM_PA29.nii.gz,FN,423251,0.048305596470843246,case_voxel_weighted
real_pairwise_world_stability,HEM_PA29.nii.gz,FP,56834,0.022111000718584486,case_voxel_weighted
real_pairwise_world_stability,HEM_PA29.nii.gz,TN,27314808,0.5166140253354262,case_voxel_weighted
real_pairwise_world_stability,HEM_PA29.nii.gz,TP,516659,0.04424425230159626,case_voxel_weighted
confidence_rank,HEP_PA28.nii.gz,FN,274512,0.07711938427849005,case_voxel_weighted
confidence_rank,HEP_PA28.nii.gz,FP,229906,0.11595545518327363,case_voxel_weighted
confidence_rank,HEP_PA28.nii.gz,TN,27470870,0.5132274056437237,case_voxel_weighted
confidence_rank,HEP_PA28.nii.gz,TP,336264,0.02719809946256657,case_voxel_weighted
real_blur_joint_product,HEP_PA28.nii.gz,FN,274512,0.010070168348213577,case_voxel_weighted
real_blur_joint_product,HEP_PA28.nii.gz,FP,229906,0.046155118685193355,case_voxel_weighted
real_blur_joint_product,HEP_PA28.nii.gz,TN,27470870,0.30728716767968867,case_voxel_weighted
real_blur_joint_product,HEP_PA28.nii.gz,TP,336264,0.0012076849110348327,case_voxel_weighted
real_blur_world_stability,HEP_PA28.nii.gz,FN,274512,0.0541471703755447,case_voxel_weighted
real_blur_world_stability,HEP_PA28.nii.gz,FP,229906,0.15501744634820802,case_voxel_weighted
real_blur_world_stability,HEP_PA28.nii.gz,TN,27470870,0.513025264506284,case_voxel_weighted
real_blur_world_stability,HEP_PA28.nii.gz,TP,336264,0.035745637397001165,case_voxel_weighted
real_gamma_joint_product,HEP_PA28.nii.gz,FN,274512,0.018536815500801006,case_voxel_weighted
real_gamma_joint_product,HEP_PA28.nii.gz,FP,229906,0.0760559038676231,case_voxel_weighted
real_gamma_joint_product,HEP_PA28.nii.gz,TN,27470870,0.31316474897265073,case_voxel_weighted
real_gamma_joint_product,HEP_PA28.nii.gz,TP,336264,0.0037076438128771745,case_voxel_weighted
real_gamma_world_stability,HEP_PA28.nii.gz,FN,274512,0.06513660359503874,case_voxel_weighted
real_gamma_world_stability,HEP_PA28.nii.gz,FP,229906,0.24094447122038473,case_voxel_weighted
real_gamma_world_stability,HEP_PA28.nii.gz,TN,27470870,0.5119683113211507,case_voxel_weighted
real_gamma_world_stability,HEP_PA28.nii.gz,TP,336264,0.05437242698610443,case_voxel_weighted
real_pairwise_joint_product,HEP_PA28.nii.gz,FN,274512,0.008329132214886589,case_voxel_weighted
real_pairwise_joint_product,HEP_PA28.nii.gz,FP,229906,0.042748026498510935,case_voxel_weighted
real_pairwise_joint_product,HEP_PA28.nii.gz,TN,27470870,0.3104474230089515,case_voxel_weighted
real_pairwise_joint_product,HEP_PA28.nii.gz,TP,336264,0.00115978166833411,case_voxel_weighted
real_pairwise_world_stability,HEP_PA28.nii.gz,FN,274512,0.04529078236371826,case_voxel_weighted
real_pairwise_world_stability,HEP_PA28.nii.gz,FP,229906,0.1089818580944365,case_voxel_weighted
