case,patch_index,patch_kind,method,scope,voxel_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman
CYST_PA62.nii.gz,0,context,confidence_rank,overall,13824,1.0,0.5000361800193787,,1.0,
CYST_PA62.nii.gz,0,context,confidence_rank,foreground,0,,,,,
CYST_PA62.nii.gz,0,context,confidence_rank,background,13824,1.0,0.5000361800193787,,1.0,
CYST_PA62.nii.gz,0,context,real_stage_gamma_world_stability,overall,13824,1.0,0.4999638310400769,,1.0,
CYST_PA62.nii.gz,0,context,real_stage_gamma_world_stability,foreground,0,,,,,
CYST_PA62.nii.gz,0,context,real_stage_gamma_world_stability,background,13824,1.0,0.4999638310400769,,1.0,
CYST_PA62.nii.gz,0,context,real_stage_blur_world_stability,overall,13824,1.0,0.4999638310228302,,1.0,
CYST_PA62.nii.gz,0,context,real_stage_blur_world_stability,foreground,0,,,,,
CYST_PA62.nii.gz,0,context,real_stage_blur_world_stability,background,13824,1.0,0.4999638310228302,,1.0,
CYST_PA62.nii.gz,0,context,real_stage_pairwise_world_stability,overall,13824,1.0,0.4999638310228302,,1.0,
CYST_PA62.nii.gz,0,context,real_stage_pairwise_world_stability,foreground,0,,,,,
CYST_PA62.nii.gz,0,context,real_stage_pairwise_world_stability,background,13824,1.0,0.4999638310228302,,1.0,
CYST_PA62.nii.gz,0,context,real_stage_gamma_joint_product,overall,13824,1.0,0.250000004225165,,1.0,
CYST_PA62.nii.gz,0,context,real_stage_gamma_joint_product,foreground,0,,,,,
CYST_PA62.nii.gz,0,context,real_stage_gamma_joint_product,background,13824,1.0,0.250000004225165,,1.0,
CYST_PA62.nii.gz,0,context,real_stage_blur_joint_product,overall,13824,1.0,0.25000000421034363,,1.0,
CYST_PA62.nii.gz,0,context,real_stage_blur_joint_product,foreground,0,,,,,
CYST_PA62.nii.gz,0,context,real_stage_blur_joint_product,background,13824,1.0,0.25000000421034363,,1.0,
CYST_PA62.nii.gz,0,context,real_stage_pairwise_joint_product,overall,13824,1.0,0.25000000421034363,,1.0,
CYST_PA62.nii.gz,0,context,real_stage_pairwise_joint_product,foreground,0,,,,,
CYST_PA62.nii.gz,0,context,real_stage_pairwise_joint_product,background,13824,1.0,0.25000000421034363,,1.0,
CYST_PA62.nii.gz,1,context,confidence_rank,overall,13824,0.9762008101851852,0.5000361700340763,0.5359211055315996,0.9763925227332105,0.020844652909567954
CYST_PA62.nii.gz,1,context,confidence_rank,foreground,645,0.5736434108527132,0.40900058222468944,0.3244864864864865,0.4708661901493679,-0.32378593427275176
CYST_PA62.nii.gz,1,context,confidence_rank,background,13179,0.9959025722740724,0.5044915880579821,0.9394031746031746,0.9996055906740006,0.10698065012974353
CYST_PA62.nii.gz,1,context,real_stage_gamma_world_stability,overall,13824,0.9762008101851852,0.4999638310012718,0.5020672972428153,0.9756237143470335,0.0010915514796033862
CYST_PA62.nii.gz,1,context,real_stage_gamma_world_stability,foreground,645,0.5736434108527132,0.4119394647982694,0.2991744471744472,0.5124523786341255,-0.3440745364769651
CYST_PA62.nii.gz,1,context,real_stage_gamma_world_stability,background,13179,0.9959025722740724,0.5042718753294406,0.9443541446208112,0.9996824598312668,0.09832952417079122
CYST_PA62.nii.gz,1,context,real_stage_blur_world_stability,overall,13824,0.9762008101851852,0.49996383103145353,0.5017569267464816,0.9736933101496299,0.0009276730834404756
CYST_PA62.nii.gz,1,context,real_stage_blur_world_stability,foreground,645,0.5736434108527132,0.4187439447225526,0.3058968058968059,0.5285620425096154,-0.33258175009848323
CYST_PA62.nii.gz,1,context,real_stage_blur_world_stability,background,13179,0.9959025722740724,0.5039388539216001,0.9436571428571428,0.9996438421779529,0.09817528716714319
CYST_PA62.nii.gz,1,context,real_stage_pairwise_world_stability,overall,13824,0.9762008101851852,0.49996383103576525,0.503306639518633,0.9744614896315095,0.0017459352988471646
CYST_PA62.nii.gz,1,context,real_stage_pairwise_world_stability,foreground,645,0.5736434108527132,0.39185536129530085,0.25783292383292383,0.46958763045680185,-0.4148795755388199
CYST_PA62.nii.gz,1,context,real_stage_pairwise_world_stability,background,13179,0.9959025722740724,0.5052548214737802,0.9485911816578483,0.9996934458839786,0.09926712279744834
CYST_PA62.nii.gz,1,context,real_stage_gamma_joint_product,overall,13824,0.9762008101851852,0.31705445411806993,0.5013926130470476,0.975588624220441,0.0007353121734774443
CYST_PA62.nii.gz,1,context,real_stage_gamma_joint_product,foreground,645,0.5736434108527132,0.2792954876194175,0.29785257985257985,0.5078466873335084,-0.34633362689549957
CYST_PA62.nii.gz,1,context,real_stage_gamma_joint_product,background,13179,0.9959025722740724,0.31890243449530875,0.9436571428571429,0.999679241546545,0.09817528716714319
CYST_PA62.nii.gz,1,context,real_stage_blur_joint_product,overall,13824,0.9762008101851852,0.316157928487651,0.49840253792072037,0.9735682786917631,-0.0008434743081632296
CYST_PA62.nii.gz,1,context,real_stage_blur_joint_product,foreground,645,0.5736434108527132,0.288310543554172,0.31854545454545463,0.5318197005666542,-0.3109080116013938
