method,case,scope,patch_count,valid_auroc_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman,aggregation
confidence_rank,CYST_PA62.nii.gz,background,4,2,0.9977486035801564,0.5039586654027577,0.8230502974808782,0.9991784992034608,0.08314052368043953,case_patch_macro
confidence_rank,CYST_PA62.nii.gz,foreground,4,2,0.7324450476014229,0.25415939222766515,0.3964730632200144,0.6590130851678759,-0.1789036437553636,case_patch_macro
confidence_rank,CYST_PA62.nii.gz,overall,4,2,0.992115162037037,0.5000361792280541,0.6330835769959147,0.9930686327341102,0.05125368978567343,case_patch_macro
real_stage_blur_joint_product,CYST_PA62.nii.gz,background,4,2,0.9977486035801564,0.2825935997855433,0.8588518950092525,0.9994916969121481,0.08225512926001788,case_patch_macro
real_stage_blur_joint_product,CYST_PA62.nii.gz,foreground,4,2,0.7324450476014229,0.16577704303688862,0.41054305247597933,0.6956287535327582,-0.15408398461741904,case_patch_macro
real_stage_blur_joint_product,CYST_PA62.nii.gz,overall,4,2,0.992115162037037,0.28041471506934906,0.6376918451537597,0.9927530037913186,0.041621735422513774,case_patch_macro
real_stage_blur_world_stability,CYST_PA62.nii.gz,background,4,2,0.9977486035801564,0.5032507982221721,0.8636805415444978,0.9995102891817905,0.08342895250910957,case_patch_macro
real_stage_blur_world_stability,CYST_PA62.nii.gz,foreground,4,2,0.7324450476014229,0.2957633588063445,0.412439546966986,0.6980013041997105,-0.15605485849083478,case_patch_macro
real_stage_blur_world_stability,CYST_PA62.nii.gz,overall,4,2,0.992115162037037,0.4999638310228302,0.636806730296269,0.992765301383503,0.04172943395532845,case_patch_macro
real_stage_gamma_joint_product,CYST_PA62.nii.gz,background,4,2,0.9977486035801564,0.28394143526823107,0.8468713163427759,0.9994443089565148,0.07935956387122513,case_patch_macro
real_stage_gamma_joint_product,CYST_PA62.nii.gz,foreground,4,2,0.7324450476014229,0.15371147427079507,0.3938086941074746,0.6802467101770535,-0.17868604195225496,case_patch_macro
real_stage_gamma_joint_product,CYST_PA62.nii.gz,overall,4,2,0.992115162037037,0.2815108816772357,0.6396413293787162,0.9932560947389472,0.04254909123302237,case_patch_macro
real_stage_gamma_world_stability,CYST_PA62.nii.gz,background,4,2,0.9977486035801564,0.503938183420226,0.8479456315293796,0.9994475633381774,0.07961239662814405,case_patch_macro
