method,case,region,voxel_count,reliability_mean,aggregation
confidence_rank,CYST_PA62.nii.gz,FN,316,0.5004278491411426,case_voxel_weighted
confidence_rank,CYST_PA62.nii.gz,FP,120,0.1991512406721692,case_voxel_weighted
confidence_rank,CYST_PA62.nii.gz,TN,54154,0.5045768379055645,case_voxel_weighted
confidence_rank,CYST_PA62.nii.gz,TP,706,0.20270982641257113,case_voxel_weighted
real_stage_blur_joint_product,CYST_PA62.nii.gz,FN,316,0.372661747865121,case_voxel_weighted
real_stage_blur_joint_product,CYST_PA62.nii.gz,FP,120,0.08053313359463346,case_voxel_weighted
real_stage_blur_joint_product,CYST_PA62.nii.gz,TN,54154,0.2824146876005657,case_voxel_weighted
real_stage_blur_joint_product,CYST_PA62.nii.gz,TP,706,0.11969122350843327,case_voxel_weighted
real_stage_blur_world_stability,CYST_PA62.nii.gz,FN,316,0.5376975792872755,case_voxel_weighted
real_stage_blur_world_stability,CYST_PA62.nii.gz,FP,120,0.1553668737411499,case_voxel_weighted
real_stage_blur_world_stability,CYST_PA62.nii.gz,TN,54154,0.5039725048133813,case_voxel_weighted
real_stage_blur_world_stability,CYST_PA62.nii.gz,TP,706,0.23415936922216551,case_voxel_weighted
real_stage_gamma_joint_product,CYST_PA62.nii.gz,FN,316,0.36856304856947397,case_voxel_weighted
real_stage_gamma_joint_product,CYST_PA62.nii.gz,FP,120,0.09643333382420044,case_voxel_weighted
real_stage_gamma_joint_product,CYST_PA62.nii.gz,TN,54154,0.2837113430380644,case_voxel_weighted
real_stage_gamma_joint_product,CYST_PA62.nii.gz,TP,706,0.1052177322014584,case_voxel_weighted
real_stage_gamma_world_stability,CYST_PA62.nii.gz,FN,316,0.5272696946240678,case_voxel_weighted
real_stage_gamma_world_stability,CYST_PA62.nii.gz,FP,120,0.17243742992480596,case_voxel_weighted
real_stage_gamma_world_stability,CYST_PA62.nii.gz,TN,54154,0.5046157695502445,case_voxel_weighted
real_stage_gamma_world_stability,CYST_PA62.nii.gz,TP,706,0.18658342881513384,case_voxel_weighted
real_stage_pairwise_joint_product,CYST_PA62.nii.gz,FN,316,0.37216153226334375,case_voxel_weighted
real_stage_pairwise_joint_product,CYST_PA62.nii.gz,FP,120,0.07994315352710075,case_voxel_weighted
real_stage_pairwise_joint_product,CYST_PA62.nii.gz,TN,54154,0.2828039603364193,case_voxel_weighted
real_stage_pairwise_joint_product,CYST_PA62.nii.gz,TP,706,0.10166592028457105,case_voxel_weighted
real_stage_pairwise_world_stability,CYST_PA62.nii.gz,FN,316,0.5352279004416888,case_voxel_weighted
real_stage_pairwise_world_stability,CYST_PA62.nii.gz,FP,120,0.15085840870936712,case_voxel_weighted
real_stage_pairwise_world_stability,CYST_PA62.nii.gz,TN,54154,0.5043951497376175,case_voxel_weighted
real_stage_pairwise_world_stability,CYST_PA62.nii.gz,TP,706,0.20361194892578016,case_voxel_weighted
