case,patch_index,patch_kind,candidate_state,action,state_shape,channels,spatial_resolution,tensor_memory_mb,normalized_mse,delta_rms,delta_l2_norm,relative_delta_norm,relative_delta_norm_valid,gamma_vs_blur_delta_cosine,gamma_vs_blur_delta_cosine_valid,state_variance,delta_variance
HEM_PA99.nii.gz,0,context,decoder_stage_1_low_to_high,gamma,1x288x24x24x24,288,24x24x24,15.1875,0.008405384607613087,0.19774357974529266,394.56842041015625,0.09180110692977905,True,-0.08343149721622467,True,4.592635154724121,0.03910113498568535
HEM_PA99.nii.gz,0,context,decoder_stage_1_low_to_high,blur,1x288x24x24x24,288,24x24x24,15.1875,0.053113095462322235,0.5124682784080505,1022.530029296875,0.23790395259857178,True,-0.08343149721622467,True,4.592635154724121,0.26257970929145813
HEM_PA99.nii.gz,0,context,penultimate_decoder_stage_output,gamma,1x96x96x96x96,96,96x96x96,324.0,0.0008801184594631195,0.11249295622110367,1034.2677001953125,0.02987085096538067,True,0.17567121982574463,True,13.960573196411133,0.012649568729102612
HEM_PA99.nii.gz,0,context,penultimate_decoder_stage_output,blur,1x96x96x96x96,96,96x96x96,324.0,0.014771086163818836,0.5011026859283447,4607.791015625,0.13307835161685944,True,0.17567121982574463,True,13.960573196411133,0.25068676471710205
HEM_PA99.nii.gz,0,context,final_decoder_stage_input,gamma,1x64x192x192x192,64,192x192x192,1728.0,0.002606896683573723,0.07194393873214722,1503.3602294921875,0.05224455147981644,True,-0.10200276970863342,True,1.897196650505066,0.005167583003640175
HEM_PA99.nii.gz,0,context,final_decoder_stage_input,blur,1x64x192x192x192,64,192x192x192,1728.0,0.022170696407556534,0.2240646630525589,4664.68359375,0.16210639476776123,True,-0.10200276970863342,True,1.897196650505066,0.050083186477422714
HEM_PA99.nii.gz,0,context,final_decoder_feature,gamma,1x32x192x192x192,32,192x192x192,864.0,0.002627742476761341,0.03605065867304802,533.0037231445312,0.05058159679174423,True,-0.16027233004570007,True,0.31813186407089233,0.001298743998631835
HEM_PA99.nii.gz,0,context,final_decoder_feature,blur,1x32x192x192x192,32,192x192x192,864.0,0.026869669556617737,0.11584776639938354,1709.141845703125,0.1621960997581482,True,-0.16027233004570007,True,0.31813186407089233,0.01342045422643423
HEM_PA99.nii.gz,1,context,decoder_stage_1_low_to_high,gamma,1x288x24x24x24,288,24x24x24,15.1875,0.021511660888791084,0.18376146256923676,366.6661071777344,0.14890393614768982,True,0.041970983147621155,True,1.4418787956237793,0.03375185653567314
HEM_PA99.nii.gz,1,context,decoder_stage_1_low_to_high,blur,1x288x24x24x24,288,24x24x24,15.1875,0.13124823570251465,0.4482915699481964,894.463134765625,0.3632435202598572,True,0.041970983147621155,True,1.4418787956237793,0.2009623646736145
