candidate_state,case,scope,method,patch_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman,aggregation
decoder_stage_1_low_to_high,HEM_PA99.nii.gz,background,blur_joint_product,4,0.9979846224644774,0.30771555098418596,0.9941236880816251,0.999984165356638,0.08398275196328549,case_patch_macro
decoder_stage_1_low_to_high,HEM_PA99.nii.gz,foreground,blur_joint_product,4,0.9207335983430864,0.053048346615490155,0.8996944135524577,0.9895048283192028,0.3721915975434697,case_patch_macro
decoder_stage_1_low_to_high,HEM_PA99.nii.gz,overall,blur_joint_product,4,0.9950252462316442,0.2970797404207356,0.9898209106704211,0.9999444578392632,0.1366770068211016,case_patch_macro
decoder_stage_1_low_to_high,HEM_PA99.nii.gz,background,blur_world_stability,4,0.9979846224644774,0.5110842397478181,0.9848749609685247,0.9998858791289154,0.08224372647750028,case_patch_macro
decoder_stage_1_low_to_high,HEM_PA99.nii.gz,foreground,blur_world_stability,4,0.9207335983430864,0.22772616750298913,0.8771379555795965,0.987100138449883,0.3549806757227911,case_patch_macro
decoder_stage_1_low_to_high,HEM_PA99.nii.gz,overall,blur_world_stability,4,0.9950252462316442,0.4999999318394775,0.9836824784715148,0.9998377075087627,0.13490739480474292,case_patch_macro
decoder_stage_1_low_to_high,HEM_PA99.nii.gz,background,confidence_rank,4,0.9979846224644774,0.5154229037216461,0.9950826785533772,0.999985895136009,0.0841770648749569,case_patch_macro
decoder_stage_1_low_to_high,HEM_PA99.nii.gz,foreground,confidence_rank,4,0.9207335983430864,0.12399316086599,0.9057116396563306,0.989614234506475,0.3794181420008195,case_patch_macro
decoder_stage_1_low_to_high,HEM_PA99.nii.gz,overall,confidence_rank,4,0.9950252462316442,0.5000000677296943,0.9905843891144951,0.9999473976152362,0.13689720038019368,case_patch_macro
decoder_stage_1_low_to_high,HEM_PA99.nii.gz,background,gamma_joint_product,4,0.9979846224644774,0.3059019448352501,0.9902863852744158,0.9999736816075399,0.08325709193547577,case_patch_macro
decoder_stage_1_low_to_high,HEM_PA99.nii.gz,foreground,gamma_joint_product,4,0.9207335983430864,0.09490328468811408,0.903370545415636,0.9902491690306551,0.3763370918672409,case_patch_macro
decoder_stage_1_low_to_high,HEM_PA99.nii.gz,overall,gamma_joint_product,4,0.9950252462316442,0.29696491327471847,0.9881313990818725,0.9999332077370909,0.13618108807255644,case_patch_macro
decoder_stage_1_low_to_high,HEM_PA99.nii.gz,background,gamma_world_stability,4,0.9979846224644774,0.5048147453111899,0.9573653747583734,0.9996031915360536,0.07704712277205088,case_patch_macro
decoder_stage_1_low_to_high,HEM_PA99.nii.gz,foreground,gamma_world_stability,4,0.9207335983430864,0.3827611851888569,0.885445647040528,0.9884105477306675,0.3722388023794953,case_patch_macro
decoder_stage_1_low_to_high,HEM_PA99.nii.gz,overall,gamma_world_stability,4,0.9950252462316442,0.4999999321772285,0.9721353108927616,0.9995830805649577,0.13154709915801602,case_patch_macro
decoder_stage_1_low_to_high,HEM_PA99.nii.gz,background,pairwise_joint_product,4,0.9979846224644774,0.3122527275385078,0.9947762658685922,0.9999858518990834,0.08410702606823602,case_patch_macro
decoder_stage_1_low_to_high,HEM_PA99.nii.gz,foreground,pairwise_joint_product,4,0.9207335983430864,0.049454113004246014,0.901292250987766,0.9895376318108976,0.37364895128050185,case_patch_macro
decoder_stage_1_low_to_high,HEM_PA99.nii.gz,overall,pairwise_joint_product,4,0.9950252462316442,0.30123589684189533,0.9902472267294536,0.9999469516640144,0.13680097000280286,case_patch_macro
decoder_stage_1_low_to_high,HEM_PA99.nii.gz,background,pairwise_world_stability,4,0.9979846224644774,0.5130255116696322,0.9921084545535,0.9999549737169666,0.08356903889917221,case_patch_macro
decoder_stage_1_low_to_high,HEM_PA99.nii.gz,foreground,pairwise_world_stability,4,0.9207335983430864,0.18150948407984036,0.8868471975799949,0.988283709965935,0.36327318523615765,case_patch_macro
decoder_stage_1_low_to_high,HEM_PA99.nii.gz,overall,pairwise_world_stability,4,0.9950252462316442,0.4999999328074367,0.98776763414674,0.999912658811795,0.13609381581998656,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,background,blur_joint_product,4,0.9979846224644774,0.3097903692582113,0.9951305956744004,0.9999867517845737,0.08417383431883389,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,foreground,blur_joint_product,4,0.9207335983430864,0.049169066117231514,0.897089365863548,0.9898254417719099,0.37019937366329975,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,overall,blur_joint_product,4,0.9950252462316442,0.29890927038753984,0.9904294278223859,0.9999481645096197,0.13685728881247275,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,background,blur_world_stability,4,0.9979846224644774,0.513454236662859,0.9905771914341649,0.9999360375965202,0.08326779717175296,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,foreground,blur_world_stability,4,0.9207335983430864,0.1704588847290561,0.8642383220362433,0.9866829996513179,0.34148296812137674,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,overall,blur_world_stability,4,0.9950252462316442,0.49999993149377264,0.9860126928897822,0.999887337656462,0.1356092027543684,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,background,confidence_rank,4,0.9979846224644774,0.5154229037216461,0.9950826785533772,0.999985895136009,0.0841770648749569,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,foreground,confidence_rank,4,0.9207335983430864,0.12399316086599,0.9057116396563306,0.989614234506475,0.3794181420008195,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,overall,confidence_rank,4,0.9950252462316442,0.5000000677296943,0.9905843891144951,0.9999473976152362,0.13689720038019368,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,background,gamma_joint_product,4,0.9979846224644774,0.3084369350117829,0.9913411915427773,0.9999764333109751,0.083462803016151,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,foreground,gamma_joint_product,4,0.9207335983430864,0.0812794996200696,0.9049065577999134,0.9903571498177041,0.3775426582706163,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,overall,gamma_joint_product,4,0.9950252462316442,0.29882893507877395,0.988917204035547,0.999937804424411,0.1364081610478933,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,background,gamma_world_stability,4,0.9979846224644774,0.5080878682187623,0.9667130118961085,0.9996774688417769,0.07884223785173994,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,foreground,gamma_world_stability,4,0.9207335983430864,0.3037328167049324,0.8908891075676083,0.9890818723253979,0.3716869753165637,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,overall,gamma_world_stability,4,0.9950252462316442,0.49999993183108576,0.9774848803580246,0.9996665299295733,0.13309536427008678,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,background,pairwise_joint_product,4,0.9979846224644774,0.31428047391835107,0.9956069208187563,0.999988159605481,0.08427325845988466,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,foreground,pairwise_joint_product,4,0.9207335983430864,0.04161993901466251,0.9003682698162417,0.9901262271793656,0.3732210735210179,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,overall,pairwise_joint_product,4,0.9950252462316442,0.3028639624577196,0.9908965272830148,0.9999507125819124,0.1369904596841354,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,background,pairwise_world_stability,4,0.9979846224644774,0.5151333058368708,0.9945213335880777,0.9999791672727325,0.08406590567629556,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,foreground,pairwise_world_stability,4,0.9207335983430864,0.13011735239581954,0.8761512459677158,0.988350162828624,0.35228382465515456,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,overall,pairwise_world_stability,4,0.9950252462316442,0.4999999323154317,0.988964989040631,0.9999353087601889,0.1364548378466277,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,background,blur_joint_product,4,0.9979846224644774,0.3097903692582113,0.9951305956744004,0.9999867517845737,0.08417383431883389,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,foreground,blur_joint_product,4,0.9207335983430864,0.049169066117231514,0.897089365863548,0.9898254417719099,0.37019937366329975,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,overall,blur_joint_product,4,0.9950252462316442,0.29890927038753984,0.9904294278223859,0.9999481645096197,0.13685728881247275,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,background,blur_world_stability,4,0.9979846224644774,0.513454236662859,0.9905771914341649,0.9999360375965202,0.08326779717175296,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,foreground,blur_world_stability,4,0.9207335983430864,0.1704588847290561,0.8642383220362433,0.9866829996513179,0.34148296812137674,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,overall,blur_world_stability,4,0.9950252462316442,0.49999993149377264,0.9860126928897822,0.999887337656462,0.1356092027543684,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,background,confidence_rank,4,0.9979846224644774,0.5154229037216461,0.9950826785533772,0.999985895136009,0.0841770648749569,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,foreground,confidence_rank,4,0.9207335983430864,0.12399316086599,0.9057116396563306,0.989614234506475,0.3794181420008195,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,overall,confidence_rank,4,0.9950252462316442,0.5000000677296943,0.9905843891144951,0.9999473976152362,0.13689720038019368,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,background,gamma_joint_product,4,0.9979846224644774,0.3084369350117829,0.9913411915427773,0.9999764333109751,0.083462803016151,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,foreground,gamma_joint_product,4,0.9207335983430864,0.0812794996200696,0.9049065577999134,0.9903571498177041,0.3775426582706163,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,overall,gamma_joint_product,4,0.9950252462316442,0.29882893507877395,0.988917204035547,0.999937804424411,0.1364081610478933,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,background,gamma_world_stability,4,0.9979846224644774,0.5080878682187623,0.9667130118961085,0.9996774688417769,0.07884223785173994,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,foreground,gamma_world_stability,4,0.9207335983430864,0.3037328167049324,0.8908891075676083,0.9890818723253979,0.3716869753165637,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,overall,gamma_world_stability,4,0.9950252462316442,0.49999993183108576,0.9774848803580246,0.9996665299295733,0.13309536427008678,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,background,pairwise_joint_product,4,0.9979846224644774,0.31428047391835107,0.9956069208187563,0.999988159605481,0.08427325845988466,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,foreground,pairwise_joint_product,4,0.9207335983430864,0.04161993901466251,0.9003682698162417,0.9901262271793656,0.3732210735210179,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,overall,pairwise_joint_product,4,0.9950252462316442,0.3028639624577196,0.9908965272830148,0.9999507125819124,0.1369904596841354,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,background,pairwise_world_stability,4,0.9979846224644774,0.5151333058368708,0.9945213335880777,0.9999791672727325,0.08406590567629556,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,foreground,pairwise_world_stability,4,0.9207335983430864,0.13011735239581954,0.8761512459677158,0.988350162828624,0.35228382465515456,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,overall,pairwise_world_stability,4,0.9950252462316442,0.4999999323154317,0.988964989040631,0.9999353087601889,0.1364548378466277,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,background,blur_joint_product,4,0.9979846224644774,0.3109607522954405,0.995159367173427,0.9999868650176311,0.08418149398528386,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,foreground,blur_joint_product,4,0.9207335983430864,0.0545743487777842,0.89728099654568,0.9898182131204365,0.3704554819032548,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,overall,blur_joint_product,4,0.9950252462316442,0.3002673045268291,0.9904262751748393,0.9999481916298563,0.13685896048758453,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,background,blur_world_stability,4,0.9979846224644774,0.5134633727140783,0.9906354035924944,0.9999367399383676,0.08327768364637766,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,foreground,blur_world_stability,4,0.9207335983430864,0.1701149497922316,0.8655635819208042,0.9868264014835259,0.34271877183012966,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,overall,blur_world_stability,4,0.9950252462316442,0.49999993213828864,0.9860130283129006,0.9998874679952383,0.13560654613485687,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,background,confidence_rank,4,0.9979846224644774,0.5154229037216461,0.9950826785533772,0.999985895136009,0.0841770648749569,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,foreground,confidence_rank,4,0.9207335983430864,0.12399316086599,0.9057116396563306,0.989614234506475,0.3794181420008195,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,overall,confidence_rank,4,0.9950252462316442,0.5000000677296943,0.9905843891144951,0.9999473976152362,0.13689720038019368,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,background,gamma_joint_product,4,0.9979846224644774,0.31212721163183804,0.991609416176578,0.9999770390281324,0.08350463613481646,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,foreground,gamma_joint_product,4,0.9207335983430864,0.08192738047672914,0.9047052477065818,0.9902249602950249,0.3772545631332995,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,overall,gamma_joint_product,4,0.9950252462316442,0.30235498093895663,0.9888772571970851,0.9999376044751981,0.13639344928187694,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,background,gamma_world_stability,4,0.9979846224644774,0.5081324262302389,0.9693115797231039,0.9996972567627154,0.07927276717079797,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,foreground,gamma_world_stability,4,0.9207335983430864,0.30250750970528967,0.8909989576166254,0.9889813390157443,0.3715924919095488,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,overall,gamma_world_stability,4,0.9950252462316442,0.4999999326450582,0.9781564535957532,0.9996830878389273,0.13326534728614906,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,background,pairwise_joint_product,4,0.9979846224644774,0.31632055928689984,0.9956212252156815,0.9999882422729742,0.0842780146277964,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,foreground,pairwise_joint_product,4,0.9207335983430864,0.04610147215133681,0.9001055711735025,0.9900967761574405,0.3730360015931519,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,overall,pairwise_joint_product,4,0.9950252462316442,0.3049943759459235,0.9908555439133648,0.9999505037950067,0.13698031441526817,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,background,pairwise_world_stability,4,0.9979846224644774,0.5150778400195947,0.9944705253784024,0.9999804290247736,0.08406159187659046,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,foreground,pairwise_world_stability,4,0.9207335983430864,0.13122573309004526,0.876000439216619,0.9883148771684533,0.3521799579340576,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,overall,pairwise_world_stability,4,0.9950252462316442,0.4999999321477625,0.9888959966830836,0.9999358563079632,0.136433607042544,case_patch_macro
penultimate_decoder_stage_output,HEM_PA99.nii.gz,background,blur_joint_product,4,0.9979846224644774,0.3098567195268639,0.9949647699128997,0.9999864747362123,0.08414882517346688,case_patch_macro
penultimate_decoder_stage_output,HEM_PA99.nii.gz,foreground,blur_joint_product,4,0.9207335983430864,0.05048017682854624,0.8979371377278311,0.9897236182499561,0.3709770266415327,case_patch_macro
penultimate_decoder_stage_output,HEM_PA99.nii.gz,overall,blur_joint_product,4,0.9950252462316442,0.2990229983599868,0.9903182359975657,0.9999473507643459,0.13682143825684748,case_patch_macro
penultimate_decoder_stage_output,HEM_PA99.nii.gz,background,blur_world_stability,4,0.9979846224644774,0.5134456752464615,0.9898052957648332,0.9999321003594125,0.08317118897448605,case_patch_macro
penultimate_decoder_stage_output,HEM_PA99.nii.gz,foreground,blur_world_stability,4,0.9207335983430864,0.1706721844241128,0.8681601223838111,0.9869937044800029,0.3452911906732093,case_patch_macro
penultimate_decoder_stage_output,HEM_PA99.nii.gz,overall,blur_world_stability,4,0.9950252462316442,0.4999999319509075,0.9858263676819427,0.999881758715807,0.1355451823718339,case_patch_macro
penultimate_decoder_stage_output,HEM_PA99.nii.gz,background,confidence_rank,4,0.9979846224644774,0.5154229037216461,0.9950826785533772,0.999985895136009,0.0841770648749569,case_patch_macro
penultimate_decoder_stage_output,HEM_PA99.nii.gz,foreground,confidence_rank,4,0.9207335983430864,0.12399316086599,0.9057116396563306,0.989614234506475,0.3794181420008195,case_patch_macro
