case,patch_index,patch_kind,action,comparison_group,state_shape,channels,spatial_resolution,normalized_mse_to_real_A,group_delta_norm,true_delta_norm,predicted_delta_norm,magnitude_ratio,delta_cosine_to_true,delta_cosine_valid,group_delta_rms,true_delta_rms
HEM_PA99.nii.gz,0,context,gamma,identity_source,1x288x24x24x24,288,24x24x24,0.00840381346642971,0.0,394.4923400878906,0.0,0.0,,False,0.0,0.19770854711532593
HEM_PA99.nii.gz,0,context,gamma,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.008430196903645992,19.814735412597656,394.4923400878906,19.814735412597656,0.05022844146525899,-0.00613737665116787,True,0.009930592030286789,0.19770854711532593
HEM_PA99.nii.gz,0,context,gamma,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,394.4923400878906,394.4923400878906,394.4923400878906,1.0,1.0,True,0.19770854711532593,0.19770854711532593
HEM_PA99.nii.gz,0,context,blur,identity_source,1x288x24x24x24,288,24x24x24,0.05311252176761627,0.0,1022.6587524414062,0.0,0.0,,False,0.0,0.5125280022621155
HEM_PA99.nii.gz,0,context,blur,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.05849222466349602,336.2851867675781,1022.6587524414062,336.2851867675781,0.32883421372452953,0.010405338369309902,True,0.16853676736354828,0.5125280022621155
HEM_PA99.nii.gz,0,context,blur,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,1022.6587524414062,1022.6587524414062,1022.6587524414062,1.0,0.9999999403953552,True,0.5125280022621155,0.5125280022621155
HEM_PA99.nii.gz,1,context,gamma,identity_source,1x288x24x24x24,288,24x24x24,0.02149142324924469,0.0,366.4800109863281,0.0,0.0,,False,0.0,0.1836695522069931
HEM_PA99.nii.gz,1,context,gamma,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.021583179011940956,15.104799270629883,366.4800109863281,15.104799270629883,0.04121588850092395,-0.031182780861854553,True,0.007570104207843542,0.1836695522069931
HEM_PA99.nii.gz,1,context,gamma,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,366.4800109863281,366.4800109863281,366.4800109863281,1.0,1.0,True,0.1836695522069931,0.1836695522069931
HEM_PA99.nii.gz,1,context,blur,identity_source,1x288x24x24x24,288,24x24x24,0.13124272227287292,0.0,894.4793090820312,0.0,0.0,,False,0.0,0.44828808307647705
HEM_PA99.nii.gz,1,context,blur,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.12812867760658264,338.0735778808594,894.4793090820312,338.0735778808594,0.37795572736926797,0.22036676108837128,True,0.16943304240703583,0.44828808307647705
HEM_PA99.nii.gz,1,context,blur,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,894.4793090820312,894.4793090820312,894.4793090820312,1.0,1.0,True,0.44828808307647705,0.44828808307647705
HEM_PA99.nii.gz,2,foreground,gamma,identity_source,1x288x24x24x24,288,24x24x24,0.03331604599952698,0.0,432.45751953125,0.0,0.0,,False,0.0,0.21673564612865448
HEM_PA99.nii.gz,2,foreground,gamma,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.03329578787088394,16.270841598510742,432.45751953125,16.270841598510742,0.03762413847294656,0.026893582195043564,True,0.008154491893947124,0.21673564612865448
HEM_PA99.nii.gz,2,foreground,gamma,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,432.45751953125,432.45751953125,432.45751953125,1.0,1.0,True,0.21673564612865448,0.21673564612865448
HEM_PA99.nii.gz,2,foreground,blur,identity_source,1x288x24x24x24,288,24x24x24,0.1308262199163437,0.0,851.6400146484375,0.0,0.0,,False,0.0,0.42681822180747986
HEM_PA99.nii.gz,2,foreground,blur,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.1209147647023201,303.0129699707031,851.6400146484375,303.0129699707031,0.3557993574266104,0.28436464071273804,True,0.15186163783073425,0.42681822180747986
HEM_PA99.nii.gz,2,foreground,blur,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,851.6400146484375,851.6400146484375,851.6400146484375,1.0,1.0000001192092896,True,0.42681822180747986,0.42681822180747986
HEM_PA99.nii.gz,3,foreground,gamma,identity_source,1x288x24x24x24,288,24x24x24,0.02566169574856758,0.0,372.0265808105469,0.0,0.0,,False,0.0,0.186449334025383
HEM_PA99.nii.gz,3,foreground,gamma,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.025706034153699875,13.438566207885742,372.0265808105469,13.438566207885742,0.03612259688167088,-0.005853357724845409,True,0.006735034286975861,0.186449334025383
HEM_PA99.nii.gz,3,foreground,gamma,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,372.0265808105469,372.0265808105469,372.0265808105469,1.0,0.9999998807907104,True,0.186449334025383,0.186449334025383
HEM_PA99.nii.gz,3,foreground,blur,identity_source,1x288x24x24x24,288,24x24x24,0.1256394237279892,0.0,817.672119140625,0.0,0.0,,False,0.0,0.4097944498062134
HEM_PA99.nii.gz,3,foreground,blur,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.11565577238798141,275.3896789550781,817.672119140625,275.3896789550781,0.3367971984228999,0.2863667905330658,True,0.13801760971546173,0.4097944498062134
HEM_PA99.nii.gz,3,foreground,blur,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,817.672119140625,817.672119140625,817.672119140625,1.0,1.0,True,0.4097944498062134,0.4097944498062134
HCC_10140276_20170721.nii.gz,0,context,gamma,identity_source,1x288x24x24x24,288,24x24x24,0.006153158377856016,0.0,230.39242553710938,0.0,0.0,,False,0.0,0.11546625196933746
HCC_10140276_20170721.nii.gz,0,context,gamma,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.0061885216273367405,12.810663223266602,230.39242553710938,12.810663223266602,0.05560366489220013,-0.023878026753664017,True,0.006420346908271313,0.11546625196933746
HCC_10140276_20170721.nii.gz,0,context,gamma,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,230.39242553710938,230.39242553710938,230.39242553710938,1.0,1.0,True,0.11546625196933746,0.11546625196933746
HCC_10140276_20170721.nii.gz,0,context,blur,identity_source,1x288x24x24x24,288,24x24x24,0.11443550884723663,0.0,932.7703857421875,0.0,0.0,,False,0.0,0.467478483915329
HCC_10140276_20170721.nii.gz,0,context,blur,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.0859186127781868,384.262939453125,932.7703857421875,384.262939453125,0.41195876855307145,0.5084323287010193,True,0.19258186221122742,0.467478483915329
HCC_10140276_20170721.nii.gz,0,context,blur,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,932.7703857421875,932.7703857421875,932.7703857421875,1.0,1.0,True,0.467478483915329,0.467478483915329
HCC_10140276_20170721.nii.gz,1,context,gamma,identity_source,1x288x24x24x24,288,24x24x24,0.009670048952102661,0.0,254.43338012695312,0.0,0.0,,False,0.0,0.12751491367816925
HCC_10140276_20170721.nii.gz,1,context,gamma,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.009647221304476261,12.012533187866211,254.43338012695312,12.012533187866211,0.047212882137840514,0.04860789701342583,True,0.0060203466564416885,0.12751491367816925
HCC_10140276_20170721.nii.gz,1,context,gamma,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,254.43338012695312,254.43338012695312,254.43338012695312,1.0,1.0000001192092896,True,0.12751491367816925,0.12751491367816925
HCC_10140276_20170721.nii.gz,1,context,blur,identity_source,1x288x24x24x24,288,24x24x24,0.11397970467805862,0.0,847.4901733398438,0.0,0.0,,False,0.0,0.42473843693733215
HCC_10140276_20170721.nii.gz,1,context,blur,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.0927400067448616,329.79486083984375,847.4901733398438,329.79486083984375,0.3891429909330594,0.43400296568870544,True,0.16528397798538208,0.42473843693733215
HCC_10140276_20170721.nii.gz,1,context,blur,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,847.4901733398438,847.4901733398438,847.4901733398438,1.0,1.0,True,0.42473843693733215,0.42473843693733215
HCC_10140276_20170721.nii.gz,2,foreground,gamma,identity_source,1x288x24x24x24,288,24x24x24,0.013302252627909184,0.0,285.74530029296875,0.0,0.0,,False,0.0,0.14320756494998932
HCC_10140276_20170721.nii.gz,2,foreground,gamma,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.013303772546350956,12.825444221496582,285.74530029296875,12.825444221496582,0.04488418255119828,0.0211704820394516,True,0.006427754648029804,0.14320756494998932
HCC_10140276_20170721.nii.gz,2,foreground,gamma,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,285.74530029296875,285.74530029296875,285.74530029296875,1.0,1.0,True,0.14320756494998932,0.14320756494998932
HCC_10140276_20170721.nii.gz,2,foreground,blur,identity_source,1x288x24x24x24,288,24x24x24,0.12637190520763397,0.0,868.442626953125,0.0,0.0,,False,0.0,0.4352392256259918
HCC_10140276_20170721.nii.gz,2,foreground,blur,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.10763030499219894,341.1940002441406,868.442626953125,341.1940002441406,0.3928803004997553,0.38518083095550537,True,0.17099690437316895,0.4352392256259918
HCC_10140276_20170721.nii.gz,2,foreground,blur,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,868.442626953125,868.442626953125,868.442626953125,1.0,1.0,True,0.4352392256259918,0.4352392256259918
HCC_10140276_20170721.nii.gz,3,foreground,gamma,identity_source,1x288x24x24x24,288,24x24x24,0.012382113374769688,0.0,281.2280578613281,0.0,0.0,,False,0.0,0.14094366133213043
HCC_10140276_20170721.nii.gz,3,foreground,gamma,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.012395462021231651,12.5995454788208,281.2280578613281,12.5995454788208,0.04480187921019446,0.01036917045712471,True,0.00631454074755311,0.14094366133213043
HCC_10140276_20170721.nii.gz,3,foreground,gamma,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,281.2280578613281,281.2280578613281,281.2280578613281,1.0,1.0,True,0.14094366133213043,0.14094366133213043
HCC_10140276_20170721.nii.gz,3,foreground,blur,identity_source,1x288x24x24x24,288,24x24x24,0.12384100258350372,0.0,847.0374755859375,0.0,0.0,,False,0.0,0.42451155185699463
HCC_10140276_20170721.nii.gz,3,foreground,blur,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.0954858735203743,353.66656494140625,847.0374755859375,353.66656494140625,0.41753355091728106,0.48295316100120544,True,0.1772478222846985,0.42451155185699463
HCC_10140276_20170721.nii.gz,3,foreground,blur,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,847.0374755859375,847.0374755859375,847.0374755859375,1.0,1.0,True,0.42451155185699463,0.42451155185699463
HEM_PA97.nii.gz,0,context,gamma,identity_source,1x288x24x24x24,288,24x24x24,0.20944413542747498,0.0,1970.9912109375,0.0,0.0,,False,0.0,0.9878058433532715
HEM_PA97.nii.gz,0,context,gamma,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.20863820612430573,15.091910362243652,1970.9912109375,15.091910362243652,0.007657015555673229,0.2550942897796631,True,0.007563644554466009,0.9878058433532715
HEM_PA97.nii.gz,0,context,gamma,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,1970.9912109375,1970.9912109375,1970.9912109375,1.0,1.0000001192092896,True,0.9878058433532715,0.9878058433532715
HEM_PA97.nii.gz,0,context,blur,identity_source,1x288x24x24x24,288,24x24x24,0.37704676389694214,0.0,2681.9697265625,0.0,0.0,,False,0.0,1.3441284894943237
HEM_PA97.nii.gz,0,context,blur,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.404112845659256,319.762939453125,2681.9697265625,319.762939453125,0.11922690114141127,-0.24142785370349884,True,0.1602562516927719,1.3441284894943237
HEM_PA97.nii.gz,0,context,blur,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,2681.9697265625,2681.9697265625,2681.9697265625,1.0,1.0000001192092896,True,1.3441284894943237,1.3441284894943237
HEM_PA97.nii.gz,1,context,gamma,identity_source,1x288x24x24x24,288,24x24x24,0.02522151544690132,0.0,388.9452209472656,0.0,0.0,,False,0.0,0.19492848217487335
HEM_PA97.nii.gz,1,context,gamma,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.02516344003379345,14.900596618652344,388.9452209472656,14.900596618652344,0.03831027048580862,0.04920647665858269,True,0.007467763032764196,0.19492848217487335
