case_id,patch_index,patch_kind,action,layer,feature_shape,delta_norm,relative_delta,cosine_similarity,mse
HEM_PA99.nii.gz,0,context,gamma,encoder_stage_1,1x32x192x192x192,1341.4896240234375,0.11270178109407425,0.9937235116958618,0.007945495657622814
HEM_PA99.nii.gz,0,context,gamma,encoder_stage_2,1x64x96x96x96,958.4058227539062,0.11671235412359238,0.993211030960083,0.0162220299243927
HEM_PA99.nii.gz,0,context,gamma,encoder_stage_3,1x128x48x48x48,552.947998046875,0.11143970489501953,0.9937910437583923,0.021599063649773598
HEM_PA99.nii.gz,0,context,gamma,encoder_stage_4,1x256x24x24x24,480.876953125,0.1471746414899826,0.9891293048858643,0.06534226983785629
HEM_PA99.nii.gz,0,context,gamma,encoder_stage_5,1x320x12x12x12,281.34271240234375,0.14419613778591156,0.989638090133667,0.14314548671245575
HEM_PA99.nii.gz,0,context,gamma,encoder_bottleneck_deepest,1x320x6x6x6,103.72674560546875,0.12278368324041367,0.9924629330635071,0.1556602567434311
HEM_PA99.nii.gz,0,context,blur,encoder_stage_1,1x32x192x192x192,3495.387451171875,0.2936559319496155,0.9565725326538086,0.05394323542714119
HEM_PA99.nii.gz,0,context,blur,encoder_stage_2,1x64x96x96x96,3511.73193359375,0.42765024304389954,0.906987726688385,0.21779558062553406
HEM_PA99.nii.gz,0,context,blur,encoder_stage_3,1x128x48x48x48,1865.1748046875,0.3759025037288666,0.9283609390258789,0.24575671553611755
HEM_PA99.nii.gz,0,context,blur,encoder_stage_4,1x256x24x24x24,1224.3994140625,0.37473317980766296,0.9308320879936218,0.4236162006855011
HEM_PA99.nii.gz,0,context,blur,encoder_stage_5,1x320x12x12x12,788.0106201171875,0.403877854347229,0.9181904792785645,1.1229758262634277
HEM_PA99.nii.gz,0,context,blur,encoder_bottleneck_deepest,1x320x6x6x6,299.4825439453125,0.35450422763824463,0.9367473125457764,1.2975953817367554
HEM_PA99.nii.gz,1,context,gamma,encoder_stage_1,1x32x192x192x192,1660.4459228515625,0.1367337703704834,0.9906207323074341,0.012172948569059372
HEM_PA99.nii.gz,1,context,gamma,encoder_stage_2,1x64x96x96x96,1283.6409912109375,0.1510249227285385,0.9887017607688904,0.02910003252327442
HEM_PA99.nii.gz,1,context,gamma,encoder_stage_3,1x128x48x48x48,722.6599731445312,0.14143086969852448,0.9900522828102112,0.036892183125019073
HEM_PA99.nii.gz,1,context,gamma,encoder_stage_4,1x256x24x24x24,484.14215087890625,0.14965826272964478,0.9887778759002686,0.06623264402151108
HEM_PA99.nii.gz,1,context,gamma,encoder_stage_5,1x320x12x12x12,334.4503173828125,0.1657262146472931,0.9862671494483948,0.2022877186536789
HEM_PA99.nii.gz,1,context,gamma,encoder_bottleneck_deepest,1x320x6x6x6,132.17636108398438,0.1558590680360794,0.9878522157669067,0.25275737047195435
HEM_PA99.nii.gz,1,context,blur,encoder_stage_1,1x32x192x192x192,5195.7529296875,0.427857905626297,0.9076815843582153,0.11919096857309341
HEM_PA99.nii.gz,1,context,blur,encoder_stage_2,1x64x96x96x96,3673.39111328125,0.4321874976158142,0.9050107598304749,0.2383091151714325
HEM_PA99.nii.gz,1,context,blur,encoder_stage_3,1x128x48x48x48,1873.6396484375,0.3666876554489136,0.9323199391365051,0.24799247086048126
HEM_PA99.nii.gz,1,context,blur,encoder_stage_4,1x256x24x24x24,1178.338623046875,0.3642486333847046,0.9339185357093811,0.39234355092048645
HEM_PA99.nii.gz,1,context,blur,encoder_stage_5,1x320x12x12x12,823.8314208984375,0.4082234501838684,0.916575014591217,1.227391242980957
HEM_PA99.nii.gz,1,context,blur,encoder_bottleneck_deepest,1x320x6x6x6,314.4356384277344,0.37077468633651733,0.9311240315437317,1.4304075241088867
HEM_PA99.nii.gz,2,foreground,gamma,encoder_stage_1,1x32x192x192x192,1942.2476806640625,0.16039502620697021,0.9871768951416016,0.016655419021844864
HEM_PA99.nii.gz,2,foreground,gamma,encoder_stage_2,1x64x96x96x96,1504.9786376953125,0.17519141733646393,0.9848067164421082,0.04000064730644226
HEM_PA99.nii.gz,2,foreground,gamma,encoder_stage_3,1x128x48x48x48,859.4026489257812,0.1672200709581375,0.9861109256744385,0.05217466503381729
HEM_PA99.nii.gz,2,foreground,gamma,encoder_stage_4,1x256x24x24x24,596.7918701171875,0.18392159044742584,0.9830330014228821,0.10064034909009933
HEM_PA99.nii.gz,2,foreground,gamma,encoder_stage_5,1x320x12x12x12,395.0896301269531,0.197073295712471,0.9805706739425659,0.28229132294654846
HEM_PA99.nii.gz,2,foreground,gamma,encoder_bottleneck_deepest,1x320x6x6x6,152.73052978515625,0.17957352101802826,0.9839024543762207,0.33747991919517517
HEM_PA99.nii.gz,2,foreground,blur,encoder_stage_1,1x32x192x192x192,5551.18017578125,0.4584285020828247,0.8934498429298401,0.13605576753616333
HEM_PA99.nii.gz,2,foreground,blur,encoder_stage_2,1x64x96x96x96,3812.396728515625,0.4437931478023529,0.8996077179908752,0.25668618083000183
HEM_PA99.nii.gz,2,foreground,blur,encoder_stage_3,1x128x48x48x48,1912.67041015625,0.372161865234375,0.9303460121154785,0.25843220949172974
HEM_PA99.nii.gz,2,foreground,blur,encoder_stage_4,1x256x24x24x24,1180.3662109375,0.3637697398662567,0.9338420629501343,0.3936949074268341
HEM_PA99.nii.gz,2,foreground,blur,encoder_stage_5,1x320x12x12x12,830.8484497070312,0.4144326448440552,0.9142745137214661,1.2483890056610107
HEM_PA99.nii.gz,2,foreground,blur,encoder_bottleneck_deepest,1x320x6x6x6,314.2612609863281,0.36949393153190613,0.9313211441040039,1.4288215637207031
HEM_PA99.nii.gz,3,foreground,gamma,encoder_stage_1,1x32x192x192x192,1755.20166015625,0.1445094347000122,0.9896260499954224,0.013601926155388355
HEM_PA99.nii.gz,3,foreground,gamma,encoder_stage_2,1x64x96x96x96,1289.8770751953125,0.14944270253181458,0.9888596534729004,0.02938346564769745
HEM_PA99.nii.gz,3,foreground,gamma,encoder_stage_3,1x128x48x48x48,718.4451904296875,0.13901245594024658,0.990391194820404,0.03646310046315193
HEM_PA99.nii.gz,3,foreground,gamma,encoder_stage_4,1x256x24x24x24,503.10009765625,0.1550474911928177,0.987956166267395,0.07152125984430313
HEM_PA99.nii.gz,3,foreground,gamma,encoder_stage_5,1x320x12x12x12,351.4372253417969,0.1747642308473587,0.9847064018249512,0.223358154296875
HEM_PA99.nii.gz,3,foreground,gamma,encoder_bottleneck_deepest,1x320x6x6x6,138.51806640625,0.1640854924917221,0.9865072965621948,0.27759337425231934
HEM_PA99.nii.gz,3,foreground,blur,encoder_stage_1,1x32x192x192x192,5437.02001953125,0.4476412534713745,0.8980924487113953,0.13051734864711761
HEM_PA99.nii.gz,3,foreground,blur,encoder_stage_2,1x64x96x96x96,3832.580078125,0.44403544068336487,0.899140477180481,0.2594112455844879
HEM_PA99.nii.gz,3,foreground,blur,encoder_stage_3,1x128x48x48x48,1838.5760498046875,0.3557473421096802,0.9362965822219849,0.2387973666191101
HEM_PA99.nii.gz,3,foreground,blur,encoder_stage_4,1x256x24x24x24,1105.82666015625,0.3407982587814331,0.9419004321098328,0.34554168581962585
HEM_PA99.nii.gz,3,foreground,blur,encoder_stage_5,1x320x12x12x12,727.8167724609375,0.3619318902492523,0.9343191981315613,0.9579666256904602
HEM_PA99.nii.gz,3,foreground,blur,encoder_bottleneck_deepest,1x320x6x6x6,278.908935546875,0.33038946986198425,0.9452820420265198,1.1254366636276245
HCC_10140276_20170721.nii.gz,0,context,gamma,encoder_stage_1,1x32x192x192x192,1383.6298828125,0.11335344612598419,0.9935604333877563,0.008452520705759525
HCC_10140276_20170721.nii.gz,0,context,gamma,encoder_stage_2,1x64x96x96x96,952.959228515625,0.11284717172384262,0.9936451315879822,0.01603817567229271
HCC_10140276_20170721.nii.gz,0,context,gamma,encoder_stage_3,1x128x48x48x48,493.0745544433594,0.0977364182472229,0.9952256679534912,0.017174793407320976
HCC_10140276_20170721.nii.gz,0,context,gamma,encoder_stage_4,1x256x24x24x24,294.7291259765625,0.09148305654525757,0.995816707611084,0.02454552985727787
HCC_10140276_20170721.nii.gz,0,context,gamma,encoder_stage_5,1x320x12x12x12,181.89059448242188,0.09096936136484146,0.9958661198616028,0.05983106791973114
HCC_10140276_20170721.nii.gz,0,context,gamma,encoder_bottleneck_deepest,1x320x6x6x6,68.288818359375,0.08067076653242111,0.9967501759529114,0.06746762990951538
HCC_10140276_20170721.nii.gz,0,context,blur,encoder_stage_1,1x32x192x192x192,5052.380859375,0.4139147102832794,0.9137327075004578,0.11270378530025482
