case,patch_index,patch_kind,action,probability_mse,probability_mae,logits_mse,mask_dice_vs_real,mask_iou_vs_real,predicted_skip_count
CYST_PA62.nii.gz,0,context,gamma,0.0,0.0,0.9462916254997253,0.0,0.0,6
CYST_PA62.nii.gz,0,context,blur,0.0,0.0,6.839605808258057,0.0,0.0,6
CYST_PA62.nii.gz,1,context,gamma,0.0021038055419921875,0.00514984130859375,0.7982233166694641,0.9234164357185364,0.8577285408973694,6
CYST_PA62.nii.gz,1,context,blur,0.01015472412109375,0.0156707763671875,2.0995430946350098,0.7551640272140503,0.6066373586654663,6
CYST_PA62.nii.gz,2,foreground,gamma,0.001575469970703125,0.0042877197265625,0.23661205172538757,0.932317852973938,0.8732166886329651,6
CYST_PA62.nii.gz,2,foreground,blur,0.007251739501953125,0.01352691650390625,5.405641555786133,0.8154692649841309,0.6884323954582214,6
CYST_PA62.nii.gz,3,context_fill,gamma,0.0,0.0,1.2888754606246948,0.0,0.0,6
CYST_PA62.nii.gz,3,context_fill,blur,0.0,0.0,9.230257987976074,0.0,0.0,6
HEM_PA29.nii.gz,0,context,gamma,0.0,0.0,0.8711285591125488,0.0,0.0,6
HEM_PA29.nii.gz,0,context,blur,0.0,0.0,15.07289981842041,0.0,0.0,6
HEM_PA29.nii.gz,1,context,gamma,0.0,0.0,1.8834550380706787,0.0,0.0,6
HEM_PA29.nii.gz,1,context,blur,0.0,0.0,49.86781692504883,0.0,0.0,6
HEM_PA29.nii.gz,2,foreground,gamma,0.0028247833251953125,0.007793426513671875,2.236722469329834,0.9264386296272278,0.8629583120346069,6
HEM_PA29.nii.gz,2,foreground,blur,0.0121917724609375,0.0196685791015625,3.4569690227508545,0.7995538115501404,0.6660471558570862,6
HEM_PA29.nii.gz,3,foreground,gamma,0.003261566162109375,0.00894927978515625,0.7167399525642395,0.8530349731445312,0.7437323331832886,6
HEM_PA29.nii.gz,3,foreground,blur,0.01123809814453125,0.0191497802734375,2.512223482131958,0.5948525071144104,0.4233381152153015,6
HEP_PA28.nii.gz,0,context,gamma,0.0003616809844970703,0.0009784698486328125,0.19512568414211273,0.9786246418952942,0.958143949508667,6
HEP_PA28.nii.gz,0,context,blur,0.00186920166015625,0.00321197509765625,5.772764682769775,0.9316542148590088,0.8720530271530151,6
HEP_PA28.nii.gz,1,context,gamma,5.179643630981445e-05,0.00010728836059570312,5.569607257843018,0.9582388401031494,0.9198258519172668,6
HEP_PA28.nii.gz,1,context,blur,0.0030078887939453125,0.0033626556396484375,147.6822052001953,0.4279772937297821,0.27224624156951904,6
HEP_PA28.nii.gz,2,foreground,gamma,0.0046234130859375,0.00966644287109375,6.365566253662109,0.865647554397583,0.7631204128265381,6
HEP_PA28.nii.gz,2,foreground,blur,0.00948333740234375,0.015228271484375,5.489342212677002,0.7250790596008301,0.5687246918678284,6
HEP_PA28.nii.gz,3,foreground,gamma,0.002964019775390625,0.005756378173828125,0.9303773045539856,0.8948100805282593,0.8096437454223633,6
HEP_PA28.nii.gz,3,foreground,blur,0.00789642333984375,0.01183319091796875,5.853281497955322,0.8101660013198853,0.6809067726135254,6
HEM_PA107.nii.gz,0,context,gamma,0.0,0.0,1.3192214965820312,0.0,0.0,6
HEM_PA107.nii.gz,0,context,blur,0.0,0.0,4.828343868255615,0.0,0.0,6
HEM_PA107.nii.gz,1,context,gamma,0.00043082237243652344,0.0017328262329101562,0.19198082387447357,0.9749970436096191,0.9512138366699219,6
HEM_PA107.nii.gz,1,context,blur,0.0031261444091796875,0.005947113037109375,1.2097594738006592,0.9051757454872131,0.8267771601676941,6
HEM_PA107.nii.gz,2,foreground,gamma,0.0014896392822265625,0.004154205322265625,0.2921605706214905,0.9266753792762756,0.8633691072463989,6
HEM_PA107.nii.gz,2,foreground,blur,0.01088714599609375,0.015167236328125,1.8883618116378784,0.6309179067611694,0.46083274483680725,6
HEM_PA107.nii.gz,3,context_fill,gamma,0.0,0.0,0.7032259106636047,0.0,0.0,6
HEM_PA107.nii.gz,3,context_fill,blur,0.0,0.0,4.545234203338623,0.0,0.0,6
HEM_PA81.nii.gz,0,context,gamma,0.0,0.0,0.731048583984375,0.0,0.0,6
HEM_PA81.nii.gz,0,context,blur,0.0,0.0,8.092001914978027,0.0,0.0,6
