epoch,split,mean_normalized_mse,train_case_count
1,train,0.06256105436671835,30
2,train,0.05910846672874565,30
3,train,0.05824291203753092,30
4,train,0.057872892857994886,30
5,train,0.057734813907882196,30
6,train,0.05736164063952553,30
7,train,0.05720440339258251,30
8,train,0.05693034691891322,30
9,train,0.0567924969480373,30
10,train,0.05668407404834094,30
11,train,0.056589120738984394,30
12,train,0.056824025461294995,30
13,train,0.05647883017275793,30
14,train,0.0564460303246354,30
15,train,0.05635099270148203,30
16,train,0.05629508612328209,30
17,train,0.05623957848874852,30
18,train,0.05628699194445896,30
19,train,0.05616671283496544,30
20,train,0.056115714088082316,30
