table,scope,case,action,comparison_group,layer,patch_count,normalized_mse_to_real_action,delta_cosine_to_real_action,magnitude_ratio_to_real_action,probability_mse_to_real_oracle,probability_mae_to_real_oracle,logits_mse_to_real_oracle,mask_dice_to_real_oracle,mask_iou_to_real_oracle
encoder,overall,,gamma,identity_source,encoder_stage_2,32,0.023379884310998023,,0.0,,,,,
encoder,overall,,gamma,identity_source,encoder_stage_3,32,0.01951251455466263,,0.0,,,,,
encoder,overall,,gamma,identity_source,encoder_stage_4,32,0.022657332243397832,,0.0,,,,,
encoder,overall,,gamma,identity_source,encoder_stage_5,32,0.024654222710523754,,0.0,,,,,
encoder,overall,,gamma,identity_source,encoder_bottleneck_deepest,32,0.01994142250623554,,0.0,,,,,
final,overall,,gamma,identity_source,,32,,,,0.001215611093471125,0.0028943674117273424,1.784256804967299,0.9544399139673707,0.9160831678485619
encoder,overall,,gamma,correct_action_wp,encoder_stage_2,32,0.022878284013131633,0.18075325223617256,0.29283281369134784,,,,,
encoder,overall,,gamma,correct_action_wp,encoder_stage_3,32,0.019420917669776827,0.08885648171417415,0.14284269558265805,,,,,
encoder,overall,,gamma,correct_action_wp,encoder_stage_4,32,0.022667174984235317,0.03851044873590581,0.08780105598270893,,,,,
encoder,overall,,gamma,correct_action_wp,encoder_stage_5,32,0.024684951378731057,0.006198883947945433,0.047217864193953574,,,,,
encoder,overall,,gamma,correct_action_wp,encoder_bottleneck_deepest,32,0.020161825203103945,-0.012598842554780276,0.10471844393759966,,,,,
final,overall,,gamma,correct_action_wp,,32,,,,0.0012138944056232503,0.002899965868664497,1.7872962795663625,0.9543014474117042,0.9158788680407839
encoder,overall,,gamma,wrong_action_wp,encoder_stage_2,32,0.10300068254582584,-0.03363814309795998,1.899997565895319,,,,,
encoder,overall,,gamma,wrong_action_wp,encoder_stage_3,32,0.03891005599871278,-0.04087452195381047,1.0135415606200695,,,,,
encoder,overall,,gamma,wrong_action_wp,encoder_stage_4,32,0.029958799306768924,-0.051352001377381384,0.5463313050568104,,,,,
encoder,overall,,gamma,wrong_action_wp,encoder_stage_5,32,0.03079420403810218,-0.008946198344347067,0.5362100275233388,,,,,
encoder,overall,,gamma,wrong_action_wp,encoder_bottleneck_deepest,32,0.020161825203103945,-0.012598842554780276,0.10471844393759966,,,,,
final,overall,,gamma,wrong_action_wp,,32,,,,0.0017836870567862206,0.003765151846892226,2.1987457191571593,0.9370419689241978,0.8865041826869038
encoder,overall,,gamma,real_action_oracle,encoder_stage_2,32,0.0,0.9999989252537489,1.0,,,,,
encoder,overall,,gamma,real_action_oracle,encoder_stage_3,32,0.0,0.9999997969716787,1.0,,,,,
encoder,overall,,gamma,real_action_oracle,encoder_stage_4,32,0.0,1.0000000037252903,1.0,,,,,
