case,patch_index,patch_kind,method,scope,voxel_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman,disagreement_probability_mse,disagreement_probability_mae,source_gt_dice,real_blur_gt_dice,real_blur_gt_dice_drop_vs_source
CYST_PA62.nii.gz,0,context,confidence,overall,7077888,1.0,0.5000000596046448,,1.0,,,,1.0,1.0,0.0
CYST_PA62.nii.gz,0,context,confidence,foreground,0,,,,,,,,1.0,1.0,0.0
CYST_PA62.nii.gz,0,context,real_blur,overall,7077888,1.0,0.4999999403953552,,1.0,,0.0,0.0,1.0,1.0,0.0
CYST_PA62.nii.gz,0,context,real_blur,foreground,0,,,,,,0.0,0.0,1.0,1.0,0.0
CYST_PA62.nii.gz,0,context,imagined_blur,overall,7077888,1.0,0.4999999403953552,,1.0,,0.0,0.0,1.0,1.0,0.0
CYST_PA62.nii.gz,0,context,imagined_blur,foreground,0,,,,,,0.0,0.0,1.0,1.0,0.0
CYST_PA62.nii.gz,1,context,confidence,overall,7077888,0.9750821148907697,0.5000000706952449,0.9794804269962061,0.9994722287094823,0.2589050258989718,,,0.7090342165176362,0.6149691083821118,0.09406510813552438
CYST_PA62.nii.gz,1,context,confidence,foreground,363247,0.5915726764433017,0.06307372209451549,0.5596603719596137,0.6840748401011263,0.10160343052036476,,,0.7090342165176362,0.6149691083821118,0.09406510813552438
CYST_PA62.nii.gz,1,context,real_blur,overall,7077888,0.9750821148907697,0.4999999334497968,0.9719443275763262,0.9992069700610957,0.2548405743913022,0.011634452921632045,0.017097004598832025,0.7090342165176362,0.6149691083821118,0.09406510813552438
CYST_PA62.nii.gz,1,context,real_blur,foreground,363247,0.5915726764433017,0.06817491253009762,0.4589122719214368,0.6091993621161195,-0.06996593586133266,0.011634452921632045,0.017097004598832025,0.7090342165176362,0.6149691083821118,0.09406510813552438
CYST_PA62.nii.gz,1,context,imagined_blur,overall,7077888,0.9750821148907697,0.49999992622941947,0.9701418136137729,0.998806502455593,0.2539666839690689,0.0019717607668261,0.005337974276252916,0.7090342165176362,0.6149691083821118,0.09406510813552438
CYST_PA62.nii.gz,1,context,imagined_blur,foreground,363247,0.5915726764433017,0.09910771170871138,0.5242013172496589,0.6675078165341535,0.04122375662164761,0.0019717607668261,0.005337974276252916,0.7090342165176362,0.6149691083821118,0.09406510813552438
CYST_PA62.nii.gz,2,foreground,confidence,overall,7077888,0.9918752599645544,0.5000000707860911,0.9893844746866605,0.9999121830496889,0.15218599888963627,,,0.8611033283416261,0.7674225693052188,0.09368075903640727
CYST_PA62.nii.gz,2,foreground,confidence,foreground,203295,0.8768390762192873,0.023337773487644417,0.7322810738113562,0.9286848318358948,0.2644257689726946,,,0.8611033283416261,0.7674225693052188,0.09368075903640727
CYST_PA62.nii.gz,2,foreground,real_blur,overall,7077888,0.9918752599645544,0.4999999295244514,0.9762503743693612,0.9997621269902496,0.14810144164092792,0.007797553781657031,0.014072237344315133,0.8611033283416261,0.7674225693052188,0.09368075903640727
CYST_PA62.nii.gz,2,foreground,real_blur,foreground,203295,0.8768390762192873,0.04773066890477495,0.8434205517971323,0.9617225731099476,0.3909469200276169,0.007797553781657031,0.014072237344315133,0.8611033283416261,0.7674225693052188,0.09368075903640727
CYST_PA62.nii.gz,2,foreground,imagined_blur,overall,7077888,0.9918752599645544,0.49999992990718023,0.9808229757575928,0.999739907336623,0.1495361472371553,0.0008760268412874614,0.003395719849339474,0.8611033283416261,0.7674225693052188,0.09368075903640727
CYST_PA62.nii.gz,2,foreground,imagined_blur,foreground,203295,0.8768390762192873,0.043446228503242694,0.7113948572462031,0.9358256921554047,0.24067023810599633,0.0008760268412874614,0.003395719849339474,0.8611033283416261,0.7674225693052188,0.09368075903640727
CYST_PA62.nii.gz,3,context_fill,confidence,overall,7077888,1.0,0.5000000596046448,,1.0,,,,1.0,1.0,0.0
CYST_PA62.nii.gz,3,context_fill,confidence,foreground,0,,,,,,,,1.0,1.0,0.0
CYST_PA62.nii.gz,3,context_fill,real_blur,overall,7077888,1.0,0.4999999403953552,,1.0,,0.0,0.0,1.0,1.0,0.0
CYST_PA62.nii.gz,3,context_fill,real_blur,foreground,0,,,,,,0.0,0.0,1.0,1.0,0.0
CYST_PA62.nii.gz,3,context_fill,imagined_blur,overall,7077888,1.0,0.4999999403953552,,1.0,,0.0,0.0,1.0,1.0,0.0
CYST_PA62.nii.gz,3,context_fill,imagined_blur,foreground,0,,,,,,0.0,0.0,1.0,1.0,0.0
HEM_PA29.nii.gz,0,context,confidence,overall,7077888,1.0,0.5000000596046448,,1.0,,,,1.0,1.0,0.0
HEM_PA29.nii.gz,0,context,confidence,foreground,0,,,,,,,,1.0,1.0,0.0
HEM_PA29.nii.gz,0,context,real_blur,overall,7077888,1.0,0.4999999403953552,,1.0,,0.0,0.0,1.0,1.0,0.0
HEM_PA29.nii.gz,0,context,real_blur,foreground,0,,,,,,0.0,0.0,1.0,1.0,0.0
HEM_PA29.nii.gz,0,context,imagined_blur,overall,7077888,1.0,0.4999999403953552,,1.0,,0.0,0.0,1.0,1.0,0.0
HEM_PA29.nii.gz,0,context,imagined_blur,foreground,0,,,,,,0.0,0.0,1.0,1.0,0.0
HEM_PA29.nii.gz,1,context,confidence,overall,7077888,0.9999830457899306,0.5000000596046448,0.5,0.9999830457899306,,,,0.0,0.0,0.0
HEM_PA29.nii.gz,1,context,confidence,foreground,120,0.0,0.5000000596046448,,,,,,0.0,0.0,0.0
HEM_PA29.nii.gz,1,context,real_blur,overall,7077888,0.9999830457899306,0.4999999403953552,0.5,0.9999830457899306,,0.0,0.0,0.0,0.0,0.0
HEM_PA29.nii.gz,1,context,real_blur,foreground,120,0.0,0.4999999403953552,,,,0.0,0.0,0.0,0.0,0.0
HEM_PA29.nii.gz,1,context,imagined_blur,overall,7077888,0.9999830457899306,0.4999999403953552,0.5,0.9999830457899306,,0.0,0.0,0.0,0.0,0.0
HEM_PA29.nii.gz,1,context,imagined_blur,foreground,120,0.0,0.4999999403953552,,,,0.0,0.0,0.0,0.0,0.0
HEM_PA29.nii.gz,2,foreground,confidence,overall,7077888,0.9720889903880932,0.5000000693443369,0.96550528267657,0.9989768231921724,0.26561773356717555,,,0.7770518629702569,0.8025131654181675,-0.025461302447910672
HEM_PA29.nii.gz,2,foreground,confidence,foreground,535431,0.6429717367877467,0.04350057455165715,0.462583008078177,0.5804322437082415,-0.06210264241919862,,,0.7770518629702569,0.8025131654181675,-0.025461302447910672
HEM_PA29.nii.gz,2,foreground,real_blur,overall,7077888,0.9720889903880932,0.4999999296086723,0.9747237280068541,0.9991491632509535,0.2708772166092197,0.011972568536662839,0.019525759004923034,0.7770518629702569,0.8025131654181675,-0.025461302447910672
HEM_PA29.nii.gz,2,foreground,real_blur,foreground,535431,0.6429717367877467,0.052015021705778125,0.670605075020118,0.750028907693653,0.283160903599087,0.011972568536662839,0.019525759004923034,0.7770518629702569,0.8025131654181675,-0.025461302447910672
