case,patch_index,patch_kind,method,scope,region,voxel_count,reliability_mean
CYST_PA62.nii.gz,0,context,confidence,overall,TP,0,
CYST_PA62.nii.gz,0,context,confidence,overall,FP,0,
CYST_PA62.nii.gz,0,context,confidence,overall,FN,0,
CYST_PA62.nii.gz,0,context,confidence,overall,TN,7077888,0.5000000596046448
CYST_PA62.nii.gz,0,context,confidence,foreground,TP,0,
CYST_PA62.nii.gz,0,context,confidence,foreground,FP,0,
CYST_PA62.nii.gz,0,context,confidence,foreground,FN,0,
CYST_PA62.nii.gz,0,context,confidence,foreground,TN,0,
CYST_PA62.nii.gz,0,context,real_blur,overall,TP,0,
CYST_PA62.nii.gz,0,context,real_blur,overall,FP,0,
CYST_PA62.nii.gz,0,context,real_blur,overall,FN,0,
CYST_PA62.nii.gz,0,context,real_blur,overall,TN,7077888,0.4999999403953552
CYST_PA62.nii.gz,0,context,real_blur,foreground,TP,0,
CYST_PA62.nii.gz,0,context,real_blur,foreground,FP,0,
CYST_PA62.nii.gz,0,context,real_blur,foreground,FN,0,
CYST_PA62.nii.gz,0,context,real_blur,foreground,TN,0,
CYST_PA62.nii.gz,0,context,imagined_blur,overall,TP,0,
CYST_PA62.nii.gz,0,context,imagined_blur,overall,FP,0,
CYST_PA62.nii.gz,0,context,imagined_blur,overall,FN,0,
CYST_PA62.nii.gz,0,context,imagined_blur,overall,TN,7077888,0.4999999403953552
CYST_PA62.nii.gz,0,context,imagined_blur,foreground,TP,0,
CYST_PA62.nii.gz,0,context,imagined_blur,foreground,FP,0,
CYST_PA62.nii.gz,0,context,imagined_blur,foreground,FN,0,
CYST_PA62.nii.gz,0,context,imagined_blur,foreground,TN,0,
CYST_PA62.nii.gz,1,context,confidence,overall,TP,214887,0.08291402801441031
CYST_PA62.nii.gz,1,context,confidence,overall,FP,28006,0.022564130395272237
CYST_PA62.nii.gz,1,context,confidence,overall,FN,148360,0.0343367052556881
CYST_PA62.nii.gz,1,context,confidence,overall,TN,6686635,0.525735475169126
CYST_PA62.nii.gz,1,context,confidence,foreground,TP,214887,0.08291402801441031
CYST_PA62.nii.gz,1,context,confidence,foreground,FP,0,
CYST_PA62.nii.gz,1,context,confidence,foreground,FN,148360,0.0343367052556881
CYST_PA62.nii.gz,1,context,confidence,foreground,TN,0,
CYST_PA62.nii.gz,1,context,real_blur,overall,TP,214887,0.08745801390961244
CYST_PA62.nii.gz,1,context,real_blur,overall,FP,28006,0.03754019314779824
CYST_PA62.nii.gz,1,context,real_blur,overall,FN,148360,0.04024495967124215
CYST_PA62.nii.gz,1,context,real_blur,overall,TN,6686635,0.5253954860500084
CYST_PA62.nii.gz,1,context,real_blur,foreground,TP,214887,0.08745801390961244
CYST_PA62.nii.gz,1,context,real_blur,foreground,FP,0,
CYST_PA62.nii.gz,1,context,real_blur,foreground,FN,148360,0.04024495967124215
CYST_PA62.nii.gz,1,context,real_blur,foreground,TN,0,
CYST_PA62.nii.gz,1,context,imagined_blur,overall,TP,214887,0.14113102944631398
